;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;232.437;140.675;131.636;86.173;56.091;60.367;77.999;59.998;52.248;59.339;109.359;157.843
nocturna_Llana;277.275;161.843;136.218;95.06;44.589;42.723;79.641;51.158;50.876;50.743;109.425;175.311
nocturna_Valle;641.703;342.575;298.551;250.284;168.962;164.367;275.573;148.958;149.642;170.211;274.605;355.424
Surpluses;52.967;107.949;142.852;196.618;330.217;351.408;329.804;381.236;300.099;252.672;97.102;96.928
14h_Promocionadas;639.595;384.648;307.047;260.741;163.339;151.847;269.783;163.855;157.184;165.282;271.611;346.309
14h_No promocionadas;511.82;260.445;259.358;170.776;106.303;115.61;163.43;96.259;95.582;115.011;221.778;342.269
6h_Promocionadas;251.268;151.066;137.981;127.892;86.27;82.839;134.082;87.665;86.383;85.146;115.592;128.862
6h_No promocionadas;900.147;494.027;428.424;303.625;183.37199999999999;184.618;299.13100000000003;172.44899999999998;166.383;195.147;377.797;559.716
16h_Promocionadas;912.587;560.683;484.697;380.785;249.676;253.762;412.013;245.45;243.897;253.932;394.212;539.734
16h_No promocionadas;238.828;84.41;81.708;50.732;19.966;13.695;21.2;14.663999999999998;8.869;26.361;99.177;148.844
