Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Elevation (m):	665
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	4.5
System losses (%):	18.0
time,P,G(i),H_sun,T2m,WS10m,Int
20200101:0010,0.0,0.0,0.0,2.35,1.38,0.0
20200101:0110,0.0,0.0,0.0,1.71,1.45,0.0
20200101:0210,0.0,0.0,0.0,0.87,1.59,0.0
20200101:0310,0.0,0.0,0.0,0.29,1.59,0.0
20200101:0410,0.0,0.0,0.0,-0.05,1.59,0.0
20200101:0510,0.0,0.0,0.0,-0.36,1.59,0.0
20200101:0610,0.0,0.0,0.0,-0.62,1.59,0.0
20200101:0710,0.0,0.0,0.0,-1.67,1.24,0.0
20200101:0810,64.29,36.73,4.35,-1.51,1.17,0.0
20200101:0910,615.34,206.01,13.01,0.7,0.69,0.0
20200101:1010,1171.22,350.01,19.98,4.07,0.62,0.0
20200101:1110,1496.72,437.01,24.7,6.55,0.62,0.0
20200101:1210,1627.22,477.02,26.63,8.63,0.62,0.0
20200101:1310,1520.02,450.01,25.52,10.19,0.62,0.0
20200101:1410,1227.77,373.01,21.52,11.09,0.69,0.0
20200101:1510,748.98,251.01,15.11,11.32,0.69,0.0
20200101:1610,168.58,72.0,6.86,10.66,0.9,0.0
20200101:1710,0.0,0.0,0.0,8.82,1.17,0.0
20200101:1810,0.0,0.0,0.0,8.45,0.62,0.0
20200101:1910,0.0,0.0,0.0,7.07,0.41,0.0
20200101:2010,0.0,0.0,0.0,6.2,0.69,0.0
20200101:2110,0.0,0.0,0.0,3.55,1.38,0.0
20200101:2210,0.0,0.0,0.0,1.63,1.59,0.0
20200101:2310,0.0,0.0,0.0,0.82,1.52,0.0
20200102:0010,0.0,0.0,0.0,0.36,1.52,0.0
20200102:0110,0.0,0.0,0.0,-0.15,1.52,0.0
20200102:0210,0.0,0.0,0.0,-0.47,1.52,0.0
20200102:0310,0.0,0.0,0.0,-0.71,1.52,0.0
20200102:0410,0.0,0.0,0.0,-0.86,1.52,0.0
20200102:0510,0.0,0.0,0.0,-0.86,1.52,0.0
20200102:0610,0.0,0.0,0.0,-0.84,1.52,0.0
20200102:0710,0.0,0.0,0.0,-1.36,1.38,0.0
20200102:0810,61.52,41.84,4.34,-1.47,1.38,0.0
20200102:0910,614.75,207.01,13.02,0.3,0.83,0.0
20200102:1010,1172.49,349.01,20.01,3.15,0.69,0.0
20200102:1110,1507.96,437.01,24.76,5.25,0.76,0.0
20200102:1210,1633.13,474.02,26.71,7.01,0.76,0.0
20200102:1310,1531.62,448.01,25.63,8.25,0.83,0.0
20200102:1410,1229.82,369.01,21.64,9.11,0.9,0.0
20200102:1510,745.84,246.01,15.24,9.36,0.9,0.0
20200102:1610,190.1,93.01,6.99,8.89,0.83,0.0
20200102:1710,0.0,0.0,0.0,7.55,0.76,0.0
20200102:1810,0.0,0.0,0.0,6.93,0.48,0.0
20200102:1910,0.0,0.0,0.0,6.56,0.76,0.0
20200102:2010,0.0,0.0,0.0,4.57,1.17,0.0
20200102:2110,0.0,0.0,0.0,2.56,1.45,0.0
20200102:2210,0.0,0.0,0.0,1.75,1.38,0.0
20200102:2310,0.0,0.0,0.0,1.42,1.31,0.0
20200103:0010,0.0,0.0,0.0,0.98,1.31,0.0
20200103:0110,0.0,0.0,0.0,0.55,1.31,0.0
20200103:0210,0.0,0.0,0.0,0.52,1.24,0.0
20200103:0310,0.0,0.0,0.0,1.1,1.1,0.0
20200103:0410,0.0,0.0,0.0,1.73,0.83,0.0
20200103:0510,0.0,0.0,0.0,1.48,0.55,0.0
20200103:0610,0.0,0.0,0.0,1.16,0.48,0.0
20200103:0710,0.0,0.0,0.0,0.05,1.03,0.0
20200103:0810,45.55,23.79,4.34,-0.52,1.1,0.0
20200103:0910,315.0,100.0,13.04,0.96,0.62,0.0
20200103:1010,451.86,136.0,20.05,3.61,0.55,0.0
20200103:1110,815.31,235.0,24.82,5.62,0.55,0.0
