Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Radiation database:	PVGIS-SARAH2
Nominal power of the PV system (c-Si) (kWp):	4.5
System losses(%):	18.0
Fixed slope of modules (deg.):	20
Orientation (azimuth) of modules (deg.):	-15

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		11.94		370.16		3.41		105.61		61.11
2		14.87		416.35		4.32		120.95		51.79
3		17.91		555.18		5.33		165.28		56.86
4		20.13		603.8		6.16		184.71		39.06
5		21.95		680.59		6.91		214.2		55.87
6		23.43		702.86		7.6		227.85		25.79
7		24.09		746.69		7.98		247.35		20.12
8		22.6		700.5		7.45		230.82		18.78
9		19.8		593.99		6.32		189.48		17.52
10		15.66		485.38		4.78		148.1		42.04
11		12.1		362.96		3.52		105.72		50.02
12		11.34		351.52		3.24		100.58		34.17
Year		18.0		547.5		5.59		170.05		14.05
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.85		0.53		-11.64		-29.24

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2023
