Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Radiation database:	PVGIS-SARAH2
Nominal power of the PV system (c-Si) (kWp):	3.9
System losses(%):	18.0
Fixed slope of modules (deg.):	27
Orientation (azimuth) of modules (deg.):	-15

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		11.19		346.76		3.72		115.45		59.26
2		13.54		379.04		4.6		128.82		48.92
3		15.84		490.91		5.52		171.02		51.64
4		17.33		519.91		6.2		186.0		34.26
5		18.58		575.97		6.83		211.59		47.5
6		19.6		587.94		7.41		222.3		21.57
7		20.2		626.21		7.81		242.04		16.68
8		19.33		599.35		7.44		230.7		16.1
9		17.34		520.26		6.47		194.25		15.5
10		14.1		436.99		5.03		156.03		39.35
11		11.19		335.77		3.81		114.24		48.26
12		10.73		332.65		3.58		110.94		33.78
Year		15.76		479.31		5.71		173.61		12.76
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.69		0.56		-11.77		-29.21

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2023
