Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Radiation database:	PVGIS-SARAH2
Nominal power of the PV system (c-Si) (kWp):	4.3
System losses(%):	18.0
Fixed slope of modules (deg.):	27
Orientation (azimuth) of modules (deg.):	-15

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		12.22		378.76		3.72		115.45		64.73
2		14.79		414.03		4.6		128.82		53.44
3		17.3		536.23		5.52		171.02		56.4
4		18.93		567.9		6.2		186.0		37.42
5		20.29		629.13		6.83		211.59		51.88
6		21.41		642.21		7.41		222.3		23.56
7		22.06		684.01		7.81		242.04		18.22
8		21.12		654.67		7.44		230.7		17.58
9		18.94		568.28		6.47		194.25		16.93
10		15.4		477.33		5.03		156.03		42.98
11		12.23		366.77		3.81		114.24		52.72
12		11.72		363.35		3.58		110.94		36.9
Year		17.21		523.56		5.71		173.61		13.94
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-2.69		0.56		-11.77		-29.21

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2023
