Energy;Month;Day;Hour
0,0;1;1;0
0,0;1;1;1
0,0;1;1;2
0,0;1;1;3
0,0;1;1;4
0,0;1;1;5
0,0;1;1;6
0,0;1;1;7
0,268;1;1;8
1,532;1;1;9
2,203;1;1;10
2,461;1;1;11
2,535;1;1;12
2,337;1;1;13
1,956;1;1;14
1,354;1;1;15
0,292;1;1;16
0,0;1;1;17
0,0;1;1;18
0,0;1;1;19
0,0;1;1;20
0,0;1;1;21
0,0;1;1;22
0,0;1;1;23
0,0;1;2;0
0,0;1;2;1
0,0;1;2;2
0,0;1;2;3
0,0;1;2;4
0,0;1;2;5
0,0;1;2;6
0,0;1;2;7
0,426;1;2;8
1,564;1;2;9
2,215;1;2;10
2,489;1;2;11
2,549;1;2;12
2,357;1;2;13
1,955;1;2;14
1,329;1;2;15
0,485;1;2;16
0,0;1;2;17
0,0;1;2;18
0,0;1;2;19
0,0;1;2;20
0,0;1;2;21
0,0;1;2;22
0,0;1;2;23
0,0;1;3;0
0,0;1;3;1
0,0;1;3;2
0,0;1;3;3
0,0;1;3;4
0,0;1;3;5
0,0;1;3;6
0,0;1;3;7
0,057;1;3;8
0,362;1;3;9
0,458;1;3;10
0,918;1;3;11
0,816;1;3;12
0,759;1;3;13
0,832;1;3;14
0,763;1;3;15
0,355;1;3;16
0,0;1;3;17
0,0;1;3;18
0,0;1;3;19
0,0;1;3;20
0,0;1;3;21
0,0;1;3;22
0,0;1;3;23
0,0;1;4;0
0,0;1;4;1
0,0;1;4;2
0,0;1;4;3
0,0;1;4;4
0,0;1;4;5
0,0;1;4;6
0,0;1;4;7
0,585;1;4;8
1,574;1;4;9
2,209;1;4;10
2,532;1;4;11
2,623;1;4;12
2,452;1;4;13
2,06;1;4;14
1,403;1;4;15
0,52;1;4;16
0,0;1;4;17
0,0;1;4;18
0,0;1;4;19
0,0;1;4;20
0,0;1;4;21
0,0;1;4;22
0,0;1;4;23
0,0;1;5;0
0,0;1;5;1
0,0;1;5;2
0,0;1;5;3
0,0;1;5;4
0,0;1;5;5
0,0;1;5;6
0,0;1;5;7
0,496;1;5;8
1,543;1;5;9
2,17;1;5;10
2,45;1;5;11
2,505;1;5;12
2,349;1;5;13
1,987;1;5;14
1,396;1;5;15
0,53;1;5;16
0,0;1;5;17
0,0;1;5;18
0,0;1;5;19
0,0;1;5;20
0,0;1;5;21
0,0;1;5;22
0,0;1;5;23
0,0;1;6;0
0,0;1;6;1
0,0;1;6;2
0,0;1;6;3
0,0;1;6;4
0,0;1;6;5
0,0;1;6;6
0,0;1;6;7
0,55;1;6;8
1,55;1;6;9
2,158;1;6;10
2,44;1;6;11
2,511;1;6;12
2,374;1;6;13
2,011;1;6;14
1,406;1;6;15
0,555;1;6;16
0,0;1;6;17
0,0;1;6;18
0,0;1;6;19
0,0;1;6;20
0,0;1;6;21
0,0;1;6;22
0,0;1;6;23
0,0;1;7;0
0,0;1;7;1
0,0;1;7;2
0,0;1;7;3
0,0;1;7;4
0,0;1;7;5
0,0;1;7;6
0,0;1;7;7
0,549;1;7;8
1,571;1;7;9
2,179;1;7;10
2,479;1;7;11
2,561;1;7;12
2,426;1;7;13
2,032;1;7;14
1,425;1;7;15
0,566;1;7;16
0,0;1;7;17
0,0;1;7;18
0,0;1;7;19
0,0;1;7;20
0,0;1;7;21
0,0;1;7;22
0,0;1;7;23
0,0;1;8;0
0,0;1;8;1
0,0;1;8;2
0,0;1;8;3
0,0;1;8;4
0,0;1;8;5
0,0;1;8;6
0,0;1;8;7
0,182;1;8;8
1,036;1;8;9
2,113;1;8;10
2,498;1;8;11
2,46;1;8;12
2,321;1;8;13
1,949;1;8;14
1,358;1;8;15
0,541;1;8;16
0,0;1;8;17
0,0;1;8;18
0,0;1;8;19
0,0;1;8;20
0,0;1;8;21
0,0;1;8;22
0,0;1;8;23
0,0;1;9;0
0,0;1;9;1
0,0;1;9;2
0,0;1;9;3
0,0;1;9;4
0,0;1;9;5
0,0;1;9;6
0,0;1;9;7
0,519;1;9;8
1,526;1;9;9
2,097;1;9;10
2,423;1;9;11
2,484;1;9;12
2,356;1;9;13
1,997;1;9;14
1,404;1;9;15
0,546;1;9;16
0,0;1;9;17
0,0;1;9;18
0,0;1;9;19
0,0;1;9;20
0,0;1;9;21
0,0;1;9;22
0,0;1;9;23
0,0;1;10;0
0,0;1;10;1
0,0;1;10;2
0,0;1;10;3
0,0;1;10;4
0,0;1;10;5
0,0;1;10;6
0,0;1;10;7
0,623;1;10;8
1,522;1;10;9
2,209;1;10;10
2,509;1;10;11
2,612;1;10;12
2,485;1;10;13
2,111;1;10;14
1,474;1;10;15
0,591;1;10;16
0,0;1;10;17
0,0;1;10;18
0,0;1;10;19
0,0;1;10;20
0,0;1;10;21
0,0;1;10;22
0,0;1;10;23
0,0;1;11;0
0,0;1;11;1
0,0;1;11;2
0,0;1;11;3
0,0;1;11;4
0,0;1;11;5
0,0;1;11;6
0,0;1;11;7
0,596;1;11;8
1,592;1;11;9
2,215;1;11;10
2,517;1;11;11
2,592;1;11;12
2,433;1;11;13
2,082;1;11;14
1,47;1;11;15
0,628;1;11;16
0,0;1;11;17
0,0;1;11;18
0,0;1;11;19
0,0;1;11;20
0,0;1;11;21
0,0;1;11;22
0,0;1;11;23
0,0;1;12;0
0,0;1;12;1
0,0;1;12;2
0,0;1;12;3
0,0;1;12;4
0,0;1;12;5
0,0;1;12;6
0,0;1;12;7
0,531;1;12;8
1,589;1;12;9
2,216;1;12;10
2,533;1;12;11
2,58;1;12;12
2,451;1;12;13
2,123;1;12;14
1,524;1;12;15
0,654;1;12;16
0,0;1;12;17
0,0;1;12;18
0,0;1;12;19
0,0;1;12;20
0,0;1;12;21
0,0;1;12;22
0,0;1;12;23
0,0;1;13;0
0,0;1;13;1
0,0;1;13;2
0,0;1;13;3
0,0;1;13;4
0,0;1;13;5
0,0;1;13;6
0,0;1;13;7
0,248;1;13;8
0,99;1;13;9
1,8;1;13;10
2,274;1;13;11
2,523;1;13;12
2,349;1;13;13
1,816;1;13;14
1,22;1;13;15
0,315;1;13;16
0,0;1;13;17
0,0;1;13;18
0,0;1;13;19
0,0;1;13;20
0,0;1;13;21
0,0;1;13;22
0,0;1;13;23
0,0;1;14;0
0,0;1;14;1
0,0;1;14;2
0,0;1;14;3
0,0;1;14;4
0,0;1;14;5
0,0;1;14;6
0,0;1;14;7
0,565;1;14;8
1,557;1;14;9
2,135;1;14;10
2,417;1;14;11
2,546;1;14;12
2,451;1;14;13
2,035;1;14;14
1,509;1;14;15
0,637;1;14;16
0,0;1;14;17
0,0;1;14;18
0,0;1;14;19
0,0;1;14;20
0,0;1;14;21
0,0;1;14;22
0,0;1;14;23
0,0;1;15;0
0,0;1;15;1
0,0;1;15;2
0,0;1;15;3
0,0;1;15;4
0,0;1;15;5
0,0;1;15;6
0,0;1;15;7
0,008;1;15;8
0,157;1;15;9
0,405;1;15;10
0,413;1;15;11
0,408;1;15;12
0,806;1;15;13
0,533;1;15;14
0,486;1;15;15
0,08;1;15;16
0,0;1;15;17
0,0;1;15;18
0,0;1;15;19
0,0;1;15;20
0,0;1;15;21
0,0;1;15;22
0,0;1;15;23
0,0;1;16;0
0,0;1;16;1
0,0;1;16;2
0,0;1;16;3
0,0;1;16;4
0,0;1;16;5
0,0;1;16;6
0,0;1;16;7
0,0;1;16;8
0,56;1;16;9
0,527;1;16;10
0,798;1;16;11
1,248;1;16;12
1,721;1;16;13
1,826;1;16;14
1,442;1;16;15
0,437;1;16;16
0,0;1;16;17
0,0;1;16;18
0,0;1;16;19
0,0;1;16;20
0,0;1;16;21
0,0;1;16;22
0,0;1;16;23
0,0;1;17;0
0,0;1;17;1
0,0;1;17;2
0,0;1;17;3
0,0;1;17;4
0,0;1;17;5
0,0;1;17;6
0,0;1;17;7
0,472;1;17;8
0,681;1;17;9
1,436;1;17;10
1,491;1;17;11
1,821;1;17;12
0,806;1;17;13
1,275;1;17;14
1,504;1;17;15
0,725;1;17;16
0,0;1;17;17
0,0;1;17;18
0,0;1;17;19
0,0;1;17;20
0,0;1;17;21
0,0;1;17;22
0,0;1;17;23
0,0;1;18;0
0,0;1;18;1
0,0;1;18;2
0,0;1;18;3
0,0;1;18;4
0,0;1;18;5
0,0;1;18;6
0,0;1;18;7
0,632;1;18;8
0,496;1;18;9
0,625;1;18;10
0,464;1;18;11
0,238;1;18;12
0,212;1;18;13
0,262;1;18;14
0,269;1;18;15
0,178;1;18;16
0,0;1;18;17
0,0;1;18;18
0,0;1;18;19
0,0;1;18;20
0,0;1;18;21
0,0;1;18;22
0,0;1;18;23
0,0;1;19;0
0,0;1;19;1
0,0;1;19;2
0,0;1;19;3
0,0;1;19;4
0,0;1;19;5
0,0;1;19;6
0,0;1;19;7
0,267;1;19;8
0,448;1;19;9
0,513;1;19;10
0,882;1;19;11
0,722;1;19;12
0,619;1;19;13
1,462;1;19;14
1,702;1;19;15
0,461;1;19;16
0,0;1;19;17
0,0;1;19;18
0,0;1;19;19
0,0;1;19;20
0,0;1;19;21
0,0;1;19;22
0,0;1;19;23
0,0;1;20;0
0,0;1;20;1
0,0;1;20;2
0,0;1;20;3
0,0;1;20;4
0,0;1;20;5
0,0;1;20;6
0,0;1;20;7
0,674;1;20;8
1,191;1;20;9
0,979;1;20;10
1,018;1;20;11
0,688;1;20;12
0,822;1;20;13
0,907;1;20;14
0,149;1;20;15
0,119;1;20;16
0,0;1;20;17
0,0;1;20;18
0,0;1;20;19
0,0;1;20;20
0,0;1;20;21
0,0;1;20;22
0,0;1;20;23
0,0;1;21;0
0,0;1;21;1
0,0;1;21;2
0,0;1;21;3
0,0;1;21;4
0,0;1;21;5
0,0;1;21;6
0,0;1;21;7
0,154;1;21;8
0,181;1;21;9
0,304;1;21;10
0,219;1;21;11
0,671;1;21;12
1,213;1;21;13
0,729;1;21;14
0,141;1;21;15
0,097;1;21;16
0,0;1;21;17
0,0;1;21;18
0,0;1;21;19
0,0;1;21;20
0,0;1;21;21
0,0;1;21;22
0,0;1;21;23
0,0;1;22;0
0,0;1;22;1
0,0;1;22;2
0,0;1;22;3
0,0;1;22;4
0,0;1;22;5
0,0;1;22;6
0,0;1;22;7
0,11;1;22;8
0,564;1;22;9
0,293;1;22;10
1,023;1;22;11
2,249;1;22;12
1,357;1;22;13
0,501;1;22;14
0,206;1;22;15
0,265;1;22;16
0,0;1;22;17
0,0;1;22;18
0,0;1;22;19
0,0;1;22;20
0,0;1;22;21
0,0;1;22;22
0,0;1;22;23
0,0;1;23;0
0,0;1;23;1
0,0;1;23;2
0,0;1;23;3
0,0;1;23;4
0,0;1;23;5
0,0;1;23;6
0,0;1;23;7
0,595;1;23;8
1,065;1;23;9
2,024;1;23;10
2,313;1;23;11
2,663;1;23;12
2,548;1;23;13
2,03;1;23;14
1,598;1;23;15
0,76;1;23;16
0,0;1;23;17
0,0;1;23;18
0,0;1;23;19
0,0;1;23;20
0,0;1;23;21
0,0;1;23;22
0,0;1;23;23
0,0;1;24;0
0,0;1;24;1
0,0;1;24;2
0,0;1;24;3
0,0;1;24;4
0,0;1;24;5
0,0;1;24;6
0,0;1;24;7
0,626;1;24;8
0,307;1;24;9
0,269;1;24;10
0,447;1;24;11
0,656;1;24;12
0,437;1;24;13
0,772;1;24;14
0,513;1;24;15
0,244;1;24;16
0,0;1;24;17
0,0;1;24;18
0,0;1;24;19
0,0;1;24;20
0,0;1;24;21
0,0;1;24;22
0,0;1;24;23
0,0;1;25;0
0,0;1;25;1
0,0;1;25;2
0,0;1;25;3
0,0;1;25;4
0,0;1;25;5
0,0;1;25;6
0,0;1;25;7
0,39;1;25;8
1,293;1;25;9
1,117;1;25;10
0,12;1;25;11
0,281;1;25;12
0,171;1;25;13
0,744;1;25;14
0,499;1;25;15
0,226;1;25;16
0,0;1;25;17
0,0;1;25;18
0,0;1;25;19
0,0;1;25;20
0,0;1;25;21
0,0;1;25;22
0,0;1;25;23
0,0;1;26;0
0,0;1;26;1
0,0;1;26;2
0,0;1;26;3
0,0;1;26;4
0,0;1;26;5
0,0;1;26;6
0,0;1;26;7
0,709;1;26;8
1,614;1;26;9
2,313;1;26;10
2,631;1;26;11
2,649;1;26;12
1,894;1;26;13
1,641;1;26;14
1,66;1;26;15
0,852;1;26;16
0,0;1;26;17
0,0;1;26;18
0,0;1;26;19
0,0;1;26;20
0,0;1;26;21
0,0;1;26;22
0,0;1;26;23
0,0;1;27;0
0,0;1;27;1
0,0;1;27;2
0,0;1;27;3
0,0;1;27;4
0,0;1;27;5
0,0;1;27;6
0,0;1;27;7
0,049;1;27;8
0,254;1;27;9
0,603;1;27;10
0,732;1;27;11
0,483;1;27;12
0,768;1;27;13
1,042;1;27;14
0,688;1;27;15
0,369;1;27;16
0,0;1;27;17
0,0;1;27;18
0,0;1;27;19
0,0;1;27;20
0,0;1;27;21
0,0;1;27;22
0,0;1;27;23
0,0;1;28;0
0,0;1;28;1
0,0;1;28;2
0,0;1;28;3
0,0;1;28;4
0,0;1;28;5
0,0;1;28;6
0,0;1;28;7
0,15;1;28;8
1,135;1;28;9
0,878;1;28;10
0,688;1;28;11
0,592;1;28;12
1,058;1;28;13
0,705;1;28;14
0,641;1;28;15
0,448;1;28;16
0,0;1;28;17
0,0;1;28;18
0,0;1;28;19
0,0;1;28;20
0,0;1;28;21
0,0;1;28;22
0,0;1;28;23
0,0;1;29;0
0,0;1;29;1
0,0;1;29;2
0,0;1;29;3
0,0;1;29;4
0,0;1;29;5
0,0;1;29;6
0,0;1;29;7
0,114;1;29;8
0,341;1;29;9
1,172;1;29;10
1,871;1;29;11
2,329;1;29;12
2,321;1;29;13
1,491;1;29;14
1,086;1;29;15
0,379;1;29;16
0,0;1;29;17
0,0;1;29;18
0,0;1;29;19
0,0;1;29;20
0,0;1;29;21
0,0;1;29;22
0,0;1;29;23
0,0;1;30;0
0,0;1;30;1
0,0;1;30;2
0,0;1;30;3
0,0;1;30;4
0,0;1;30;5
0,0;1;30;6
0,0;1;30;7
0,312;1;30;8
0,281;1;30;9
0,286;1;30;10
0,952;1;30;11
1,173;1;30;12
1,215;1;30;13
0,549;1;30;14
1,75;1;30;15
0,875;1;30;16
0,01;1;30;17
0,0;1;30;18
0,0;1;30;19
0,0;1;30;20
0,0;1;30;21
0,0;1;30;22
0,0;1;30;23
0,0;1;31;0
0,0;1;31;1
0,0;1;31;2
0,0;1;31;3
0,0;1;31;4
0,0;1;31;5
0,0;1;31;6
0,0;1;31;7
0,576;1;31;8
1,316;1;31;9
1,561;1;31;10
2,194;1;31;11
2,659;1;31;12
2,469;1;31;13
1,04;1;31;14
0,772;1;31;15
0,86;1;31;16
0,0;1;31;17
0,0;1;31;18
0,0;1;31;19
0,0;1;31;20
0,0;1;31;21
0,0;1;31;22
0,0;1;31;23
0,0;2;1;0
0,0;2;1;1
0,0;2;1;2
0,0;2;1;3
0,0;2;1;4
0,0;2;1;5
0,0;2;1;6
0,0;2;1;7
0,252;2;1;8
0,789;2;1;9
1,067;2;1;10
2,397;2;1;11
2,671;2;1;12
2,552;2;1;13
2,179;2;1;14
1,546;2;1;15
0,843;2;1;16
0,014;2;1;17
0,0;2;1;18
0,0;2;1;19
0,0;2;1;20
0,0;2;1;21
0,0;2;1;22
0,0;2;1;23
0,0;2;2;0
