Energy;Month;Day;Hour
0,0;1;1;0
0,0;1;1;1
0,0;1;1;2
0,0;1;1;3
0,0;1;1;4
0,0;1;1;5
0,0;1;1;6
0,0;1;1;7
0,32;1;1;8
1,67;1;1;9
2,309;1;1;10
2,53;1;1;11
2,584;1;1;12
2,378;1;1;13
2,004;1;1;14
1,42;1;1;15
0,31;1;1;16
0,0;1;1;17
0,0;1;1;18
0,0;1;1;19
0,0;1;1;20
0,0;1;1;21
0,0;1;1;22
0,0;1;1;23
0,0;1;2;0
0,0;1;2;1
0,0;1;2;2
0,0;1;2;3
0,0;1;2;4
0,0;1;2;5
0,0;1;2;6
0,0;1;2;7
0,523;1;2;8
1,709;1;2;9
2,323;1;2;10
2,56;1;2;11
2,598;1;2;12
2,4;1;2;13
2,003;1;2;14
1,392;1;2;15
0,544;1;2;16
0,0;1;2;17
0,0;1;2;18
0,0;1;2;19
0,0;1;2;20
0,0;1;2;21
0,0;1;2;22
0,0;1;2;23
0,0;1;3;0
0,0;1;3;1
0,0;1;3;2
0,0;1;3;3
0,0;1;3;4
0,0;1;3;5
0,0;1;3;6
0,0;1;3;7
0,057;1;3;8
0,349;1;3;9
0,425;1;3;10
0,879;1;3;11
0,766;1;3;12
0,711;1;3;13
0,8;1;3;14
0,764;1;3;15
0,383;1;3;16
0,0;1;3;17
0,0;1;3;18
0,0;1;3;19
0,0;1;3;20
0,0;1;3;21
0,0;1;3;22
0,0;1;3;23
0,0;1;4;0
0,0;1;4;1
0,0;1;4;2
0,0;1;4;3
0,0;1;4;4
0,0;1;4;5
0,0;1;4;6
0,0;1;4;7
0,725;1;4;8
1,721;1;4;9
2,32;1;4;10
2,609;1;4;11
2,682;1;4;12
2,504;1;4;13
2,116;1;4;14
1,472;1;4;15
0,583;1;4;16
0,0;1;4;17
0,0;1;4;18
0,0;1;4;19
0,0;1;4;20
0,0;1;4;21
0,0;1;4;22
0,0;1;4;23
0,0;1;5;0
0,0;1;5;1
0,0;1;5;2
0,0;1;5;3
0,0;1;5;4
0,0;1;5;5
0,0;1;5;6
0,0;1;5;7
0,612;1;5;8
1,684;1;5;9
2,274;1;5;10
2,516;1;5;11
2,549;1;5;12
2,387;1;5;13
2,033;1;5;14
1,46;1;5;15
0,592;1;5;16
0,0;1;5;17
0,0;1;5;18
0,0;1;5;19
0,0;1;5;20
0,0;1;5;21
0,0;1;5;22
0,0;1;5;23
0,0;1;6;0
0,0;1;6;1
0,0;1;6;2
0,0;1;6;3
0,0;1;6;4
0,0;1;6;5
0,0;1;6;6
0,0;1;6;7
0,681;1;6;8
1,691;1;6;9
2,26;1;6;10
2,505;1;6;11
2,555;1;6;12
2,412;1;6;13
2,056;1;6;14
1,469;1;6;15
0,62;1;6;16
0,0;1;6;17
0,0;1;6;18
0,0;1;6;19
0,0;1;6;20
0,0;1;6;21
0,0;1;6;22
0,0;1;6;23
0,0;1;7;0
0,0;1;7;1
0,0;1;7;2
0,0;1;7;3
0,0;1;7;4
0,0;1;7;5
0,0;1;7;6
0,0;1;7;7
0,678;1;7;8
1,712;1;7;9
2,279;1;7;10
2,542;1;7;11
2,604;1;7;12
2,464;1;7;13
2,076;1;7;14
1,487;1;7;15
0,63;1;7;16
0,0;1;7;17
0,0;1;7;18
0,0;1;7;19
0,0;1;7;20
0,0;1;7;21
0,0;1;7;22
0,0;1;7;23
0,0;1;8;0
0,0;1;8;1
0,0;1;8;2
0,0;1;8;3
0,0;1;8;4
0,0;1;8;5
0,0;1;8;6
0,0;1;8;7
0,21;1;8;8
1,106;1;8;9
2,212;1;8;10
2,565;1;8;11
2,502;1;8;12
2,356;1;8;13
1,99;1;8;14
1,414;1;8;15
0,6;1;8;16
0,0;1;8;17
0,0;1;8;18
0,0;1;8;19
0,0;1;8;20
0,0;1;8;21
0,0;1;8;22
0,0;1;8;23
0,0;1;9;0
0,0;1;9;1
0,0;1;9;2
0,0;1;9;3
0,0;1;9;4
0,0;1;9;5
0,0;1;9;6
0,0;1;9;7
0,641;1;9;8
1,664;1;9;9
2,194;1;9;10
2,488;1;9;11
2,527;1;9;12
2,393;1;9;13
2,04;1;9;14
1,463;1;9;15
0,602;1;9;16
0,0;1;9;17
0,0;1;9;18
0,0;1;9;19
0,0;1;9;20
0,0;1;9;21
0,0;1;9;22
0,0;1;9;23
0,0;1;10;0
0,0;1;10;1
0,0;1;10;2
0,0;1;10;3
0,0;1;10;4
0,0;1;10;5
0,0;1;10;6
0,0;1;10;7
0,772;1;10;8
1,658;1;10;9
2,316;1;10;10
2,58;1;10;11
2,664;1;10;12
2,53;1;10;13
2,161;1;10;14
1,536;1;10;15
0,652;1;10;16
0,0;1;10;17
0,0;1;10;18
0,0;1;10;19
0,0;1;10;20
0,0;1;10;21
0,0;1;10;22
0,0;1;10;23
0,0;1;11;0
0,0;1;11;1
0,0;1;11;2
0,0;1;11;3
0,0;1;11;4
0,0;1;11;5
0,0;1;11;6
0,0;1;11;7
0,735;1;11;8
1,733;1;11;9
2,316;1;11;10
2,581;1;11;11
2,634;1;11;12
2,467;1;11;13
2,122;1;11;14
1,525;1;11;15
0,691;1;11;16
0,0;1;11;17
0,0;1;11;18
0,0;1;11;19
0,0;1;11;20
0,0;1;11;21
0,0;1;11;22
0,0;1;11;23
0,0;1;12;0
0,0;1;12;1
0,0;1;12;2
0,0;1;12;3
0,0;1;12;4
0,0;1;12;5
0,0;1;12;6
0,0;1;12;7
0,65;1;12;8
1,726;1;12;9
2,312;1;12;10
2,591;1;12;11
2,614;1;12;12
2,48;1;12;13
2,16;1;12;14
1,58;1;12;15
0,718;1;12;16
0,0;1;12;17
0,0;1;12;18
0,0;1;12;19
0,0;1;12;20
0,0;1;12;21
0,0;1;12;22
0,0;1;12;23
0,0;1;13;0
0,0;1;13;1
0,0;1;13;2
0,0;1;13;3
0,0;1;13;4
0,0;1;13;5
0,0;1;13;6
0,0;1;13;7
0,29;1;13;8
1,045;1;13;9
1,862;1;13;10
2,32;1;13;11
2,558;1;13;12
2,376;1;13;13
1,836;1;13;14
1,246;1;13;15
0,317;1;13;16
0,0;1;13;17
0,0;1;13;18
0,0;1;13;19
0,0;1;13;20
0,0;1;13;21
0,0;1;13;22
0,0;1;13;23
0,0;1;14;0
0,0;1;14;1
0,0;1;14;2
0,0;1;14;3
0,0;1;14;4
0,0;1;14;5
0,0;1;14;6
0,0;1;14;7
0,692;1;14;8
1,688;1;14;9
2,224;1;14;10
2,472;1;14;11
2,584;1;14;12
2,483;1;14;13
2,069;1;14;14
1,561;1;14;15
0,692;1;14;16
0,0;1;14;17
0,0;1;14;18
0,0;1;14;19
0,0;1;14;20
0,0;1;14;21
0,0;1;14;22
0,0;1;14;23
0,0;1;15;0
0,0;1;15;1
0,0;1;15;2
0,0;1;15;3
0,0;1;15;4
0,0;1;15;5
0,0;1;15;6
0,0;1;15;7
0,007;1;15;8
0,143;1;15;9
0,372;1;15;10
0,378;1;15;11
0,373;1;15;12
0,754;1;15;13
0,492;1;15;14
0,457;1;15;15
0,073;1;15;16
0,0;1;15;17
0,0;1;15;18
0,0;1;15;19
0,0;1;15;20
0,0;1;15;21
0,0;1;15;22
0,0;1;15;23
0,0;1;16;0
0,0;1;16;1
0,0;1;16;2
0,0;1;16;3
0,0;1;16;4
0,0;1;16;5
0,0;1;16;6
0,0;1;16;7
0,0;1;16;8
0,56;1;16;9
0,492;1;16;10
0,751;1;16;11
1,207;1;16;12
1,712;1;16;13
1,847;1;16;14
1,488;1;16;15
0,454;1;16;16
0,0;1;16;17
0,0;1;16;18
0,0;1;16;19
0,0;1;16;20
0,0;1;16;21
0,0;1;16;22
0,0;1;16;23
0,0;1;17;0
0,0;1;17;1
0,0;1;17;2
0,0;1;17;3
0,0;1;17;4
0,0;1;17;5
0,0;1;17;6
0,0;1;17;7
0,574;1;17;8
0,695;1;17;9
1,465;1;17;10
1,481;1;17;11
1,816;1;17;12
0,753;1;17;13
1,255;1;17;14
1,552;1;17;15
0,788;1;17;16
0,0;1;17;17
0,0;1;17;18
0,0;1;17;19
0,0;1;17;20
0,0;1;17;21
0,0;1;17;22
0,0;1;17;23
0,0;1;18;0
0,0;1;18;1
0,0;1;18;2
0,0;1;18;3
0,0;1;18;4
0,0;1;18;5
0,0;1;18;6
0,0;1;18;7
0,773;1;18;8
0,489;1;18;9
0,59;1;18;10
0,425;1;18;11
0,218;1;18;12
0,194;1;18;13
0,24;1;18;14
0,246;1;18;15
0,166;1;18;16
0,0;1;18;17
0,0;1;18;18
0,0;1;18;19
0,0;1;18;20
0,0;1;18;21
0,0;1;18;22
0,0;1;18;23
0,0;1;19;0
0,0;1;19;1
0,0;1;19;2
0,0;1;19;3
0,0;1;19;4
0,0;1;19;5
0,0;1;19;6
0,0;1;19;7
0,31;1;19;8
0,435;1;19;9
0,476;1;19;10
0,833;1;19;11
0,668;1;19;12
0,569;1;19;13
1,448;1;19;14
1,76;1;19;15
0,473;1;19;16
0,0;1;19;17
0,0;1;19;18
0,0;1;19;19
0,0;1;19;20
0,0;1;19;21
0,0;1;19;22
0,0;1;19;23
0,0;1;20;0
0,0;1;20;1
0,0;1;20;2
0,0;1;20;3
0,0;1;20;4
0,0;1;20;5
0,0;1;20;6
0,0;1;20;7
0,823;1;20;8
1,268;1;20;9
0,958;1;20;10
0,972;1;20;11
0,634;1;20;12
0,766;1;20;13
0,86;1;20;14
0,136;1;20;15
0,108;1;20;16
0,0;1;20;17
0,0;1;20;18
0,0;1;20;19
0,0;1;20;20
0,0;1;20;21
0,0;1;20;22
0,0;1;20;23
0,0;1;21;0
0,0;1;21;1
0,0;1;21;2
0,0;1;21;3
0,0;1;21;4
0,0;1;21;5
0,0;1;21;6
0,0;1;21;7
0,166;1;21;8
0,165;1;21;9
0,278;1;21;10
0,2;1;21;11
0,619;1;21;12
1,163;1;21;13
0,681;1;21;14
0,129;1;21;15
0,089;1;21;16
0,0;1;21;17
0,0;1;21;18
0,0;1;21;19
0,0;1;21;20
0,0;1;21;21
0,0;1;21;22
0,0;1;21;23
0,0;1;22;0
0,0;1;22;1
0,0;1;22;2
0,0;1;22;3
0,0;1;22;4
0,0;1;22;5
0,0;1;22;6
0,0;1;22;7
0,112;1;22;8
0,558;1;22;9
0,268;1;22;10
0,977;1;22;11
2,261;1;22;12
1,314;1;22;13
0,461;1;22;14
0,188;1;22;15
0,252;1;22;16
0,0;1;22;17
0,0;1;22;18
0,0;1;22;19
0,0;1;22;20
0,0;1;22;21
0,0;1;22;22
0,0;1;22;23
0,0;1;23;0
0,0;1;23;1
0,0;1;23;2
0,0;1;23;3
0,0;1;23;4
0,0;1;23;5
0,0;1;23;6
0,0;1;23;7
0,716;1;23;8
1,119;1;23;9
2,094;1;23;10
2,351;1;23;11
2,691;1;23;12
2,569;1;23;13
2,046;1;23;14
1,635;1;23;15
0,807;1;23;16
0,0;1;23;17
0,0;1;23;18
0,0;1;23;19
0,0;1;23;20
0,0;1;23;21
0,0;1;23;22
0,0;1;23;23
0,0;1;24;0
0,0;1;24;1
0,0;1;24;2
0,0;1;24;3
0,0;1;24;4
0,0;1;24;5
0,0;1;24;6
0,0;1;24;7
0,743;1;24;8
0,285;1;24;9
0,246;1;24;10
0,409;1;24;11
0,604;1;24;12
0,4;1;24;13
0,723;1;24;14
0,479;1;24;15
0,229;1;24;16
0,0;1;24;17
0,0;1;24;18
0,0;1;24;19
0,0;1;24;20
0,0;1;24;21
0,0;1;24;22
0,0;1;24;23
0,0;1;25;0
0,0;1;25;1
0,0;1;25;2
0,0;1;25;3
0,0;1;25;4
0,0;1;25;5
0,0;1;25;6
0,0;1;25;7
0,449;1;25;8
1,374;1;25;9
1,105;1;25;10
0,11;1;25;11
0,257;1;25;12
0,156;1;25;13
0,695;1;25;14
0,464;1;25;15
0,21;1;25;16
0,0;1;25;17
0,0;1;25;18
0,0;1;25;19
0,0;1;25;20
0,0;1;25;21
0,0;1;25;22
0,0;1;25;23
0,0;1;26;0
0,0;1;26;1
0,0;1;26;2
0,0;1;26;3
0,0;1;26;4
0,0;1;26;5
0,0;1;26;6
0,0;1;26;7
0,838;1;26;8
1,727;1;26;9
2,391;1;26;10
2,673;1;26;11
2,669;1;26;12
1,876;1;26;13
1,626;1;26;14
1,69;1;26;15
0,899;1;26;16
0,0;1;26;17
0,0;1;26;18
0,0;1;26;19
0,0;1;26;20
0,0;1;26;21
0,0;1;26;22
0,0;1;26;23
0,0;1;27;0
0,0;1;27;1
0,0;1;27;2
0,0;1;27;3
0,0;1;27;4
0,0;1;27;5
0,0;1;27;6
0,0;1;27;7
0,044;1;27;8
0,234;1;27;9
0,563;1;27;10
0,679;1;27;11
0,442;1;27;12
0,711;1;27;13
0,994;1;27;14
0,654;1;27;15
0,356;1;27;16
0,0;1;27;17
0,0;1;27;18
0,0;1;27;19
0,0;1;27;20
0,0;1;27;21
0,0;1;27;22
0,0;1;27;23
0,0;1;28;0
0,0;1;28;1
0,0;1;28;2
0,0;1;28;3
0,0;1;28;4
0,0;1;28;5
0,0;1;28;6
0,0;1;28;7
0,154;1;28;8
1,193;1;28;9
0,847;1;28;10
0,637;1;28;11
0,543;1;28;12
1,0;1;28;13
0,655;1;28;14
0,606;1;28;15
0,441;1;28;16
0,0;1;28;17
0,0;1;28;18
0,0;1;28;19
0,0;1;28;20
0,0;1;28;21
0,0;1;28;22
0,0;1;28;23
0,0;1;29;0
0,0;1;29;1
0,0;1;29;2
0,0;1;29;3
0,0;1;29;4
0,0;1;29;5
0,0;1;29;6
0,0;1;29;7
0,113;1;29;8
0,318;1;29;9
1,161;1;29;10
1,873;1;29;11
2,336;1;29;12
2,324;1;29;13
1,466;1;29;14
1,072;1;29;15
0,366;1;29;16
0,0;1;29;17
0,0;1;29;18
0,0;1;29;19
0,0;1;29;20
0,0;1;29;21
0,0;1;29;22
0,0;1;29;23
0,0;1;30;0
0,0;1;30;1
0,0;1;30;2
0,0;1;30;3
0,0;1;30;4
0,0;1;30;5
0,0;1;30;6
0,0;1;30;7
0,344;1;30;8
0,258;1;30;9
0,262;1;30;10
0,899;1;30;11
1,115;1;30;12
1,158;1;30;13
0,504;1;30;14
1,776;1;30;15
0,912;1;30;16
0,01;1;30;17
0,0;1;30;18
0,0;1;30;19
0,0;1;30;20
0,0;1;30;21
0,0;1;30;22
0,0;1;30;23
0,0;1;31;0
0,0;1;31;1
0,0;1;31;2
0,0;1;31;3
0,0;1;31;4
0,0;1;31;5
0,0;1;31;6
0,0;1;31;7
0,664;1;31;8
1,388;1;31;9
1,578;1;31;10
2,211;1;31;11
2,672;1;31;12
2,472;1;31;13
0,991;1;31;14
0,738;1;31;15
0,893;1;31;16
0,0;1;31;17
0,0;1;31;18
0,0;1;31;19
0,0;1;31;20
0,0;1;31;21
0,0;1;31;22
0,0;1;31;23
0,0;2;1;0
0,0;2;1;1
0,0;2;1;2
0,0;2;1;3
0,0;2;1;4
0,0;2;1;5
0,0;2;1;6
0,0;2;1;7
0,268;2;1;8
0,796;2;1;9
1,044;2;1;10
2,426;2;1;11
2,684;2;1;12
2,555;2;1;13
2,182;2;1;14
1,555;2;1;15
0,87;2;1;16
0,014;2;1;17
0,0;2;1;18
0,0;2;1;19
0,0;2;1;20
0,0;2;1;21
0,0;2;1;22
0,0;2;1;23
0,0;2;2;0
