CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000003073076YC;01/01/2023;1;0,363;R
ES0021000003073076YC;01/01/2023;2;0,386;R
ES0021000003073076YC;01/01/2023;3;0,779;R
ES0021000003073076YC;01/01/2023;4;0,983;R
ES0021000003073076YC;01/01/2023;5;0,610;R
ES0021000003073076YC;01/01/2023;6;0,365;R
ES0021000003073076YC;01/01/2023;7;0,340;R
ES0021000003073076YC;01/01/2023;8;0,363;R
ES0021000003073076YC;01/01/2023;9;0,312;R
ES0021000003073076YC;01/01/2023;10;0,352;R
ES0021000003073076YC;01/01/2023;11;0,314;R
ES0021000003073076YC;01/01/2023;12;0,428;R
ES0021000003073076YC;01/01/2023;13;0,791;R
ES0021000003073076YC;01/01/2023;14;1,924;R
ES0021000003073076YC;01/01/2023;15;1,809;R
ES0021000003073076YC;01/01/2023;16;0,529;R
ES0021000003073076YC;01/01/2023;17;1,114;R
ES0021000003073076YC;01/01/2023;18;0,973;R
ES0021000003073076YC;01/01/2023;19;1,014;R
ES0021000003073076YC;01/01/2023;20;0,666;R
ES0021000003073076YC;01/01/2023;21;1,330;R
ES0021000003073076YC;01/01/2023;22;1,950;R
ES0021000003073076YC;01/01/2023;23;0,770;R
ES0021000003073076YC;01/01/2023;24;0,795;R
ES0021000003073076YC;02/01/2023;1;0,732;R
ES0021000003073076YC;02/01/2023;2;0,401;R
ES0021000003073076YC;02/01/2023;3;0,369;R
ES0021000003073076YC;02/01/2023;4;0,357;R
ES0021000003073076YC;02/01/2023;5;0,435;R
ES0021000003073076YC;02/01/2023;6;0,359;R
ES0021000003073076YC;02/01/2023;7;0,955;R
ES0021000003073076YC;02/01/2023;8;0,411;R
ES0021000003073076YC;02/01/2023;9;0,371;R
ES0021000003073076YC;02/01/2023;10;0,619;R
ES0021000003073076YC;02/01/2023;11;0,561;R
ES0021000003073076YC;02/01/2023;12;0,508;R
ES0021000003073076YC;02/01/2023;13;0,439;R
ES0021000003073076YC;02/01/2023;14;1,263;R
ES0021000003073076YC;02/01/2023;15;0,923;R
ES0021000003073076YC;02/01/2023;16;0,454;R
ES0021000003073076YC;02/01/2023;17;0,518;R
ES0021000003073076YC;02/01/2023;18;1,112;R
ES0021000003073076YC;02/01/2023;19;1,214;R
ES0021000003073076YC;02/01/2023;20;0,569;R
ES0021000003073076YC;02/01/2023;21;0,697;R
ES0021000003073076YC;02/01/2023;22;2,274;R
ES0021000003073076YC;02/01/2023;23;0,680;R
ES0021000003073076YC;02/01/2023;24;0,561;R
ES0021000003073076YC;03/01/2023;1;0,619;R
ES0021000003073076YC;03/01/2023;2;0,467;R
ES0021000003073076YC;03/01/2023;3;0,453;R
ES0021000003073076YC;03/01/2023;4;0,371;R
ES0021000003073076YC;03/01/2023;5;0,367;R
ES0021000003073076YC;03/01/2023;6;0,360;R
ES0021000003073076YC;03/01/2023;7;0,467;R
ES0021000003073076YC;03/01/2023;8;0,561;R
ES0021000003073076YC;03/01/2023;9;0,361;R
ES0021000003073076YC;03/01/2023;10;0,332;R
ES0021000003073076YC;03/01/2023;11;0,532;R
ES0021000003073076YC;03/01/2023;12;0,441;R
ES0021000003073076YC;03/01/2023;13;0,394;R
ES0021000003073076YC;03/01/2023;14;0,452;R
ES0021000003073076YC;03/01/2023;15;2,729;R
ES0021000003073076YC;03/01/2023;16;2,704;R
ES0021000003073076YC;03/01/2023;17;2,773;R
ES0021000003073076YC;03/01/2023;18;3,108;R
ES0021000003073076YC;03/01/2023;19;1,513;R
ES0021000003073076YC;03/01/2023;20;0,866;R
ES0021000003073076YC;03/01/2023;21;0,937;R
ES0021000003073076YC;03/01/2023;22;1,182;R
ES0021000003073076YC;03/01/2023;23;0,867;R
ES0021000003073076YC;03/01/2023;24;0,634;R
ES0021000003073076YC;04/01/2023;1;0,507;R
ES0021000003073076YC;04/01/2023;2;0,431;R
ES0021000003073076YC;04/01/2023;3;2,599;R
ES0021000003073076YC;04/01/2023;4;2,610;R
ES0021000003073076YC;04/01/2023;5;2,621;R
ES0021000003073076YC;04/01/2023;6;2,528;R
ES0021000003073076YC;04/01/2023;7;1,607;R
ES0021000003073076YC;04/01/2023;8;0,554;R
ES0021000003073076YC;04/01/2023;9;0,350;R
ES0021000003073076YC;04/01/2023;10;0,355;R
ES0021000003073076YC;04/01/2023;11;0,332;R
ES0021000003073076YC;04/01/2023;12;0,359;R
ES0021000003073076YC;04/01/2023;13;0,287;R
ES0021000003073076YC;04/01/2023;14;0,320;R
ES0021000003073076YC;04/01/2023;15;0,549;R
ES0021000003073076YC;04/01/2023;16;1,093;R
ES0021000003073076YC;04/01/2023;17;0,472;R
ES0021000003073076YC;04/01/2023;18;0,403;R
ES0021000003073076YC;04/01/2023;19;0,473;R
ES0021000003073076YC;04/01/2023;20;0,736;R
ES0021000003073076YC;04/01/2023;21;2,239;R
ES0021000003073076YC;04/01/2023;22;2,477;R
ES0021000003073076YC;04/01/2023;23;1,066;R
ES0021000003073076YC;04/01/2023;24;1,028;R
ES0021000003073076YC;05/01/2023;1;1,204;R
ES0021000003073076YC;05/01/2023;2;2,064;R
ES0021000003073076YC;05/01/2023;3;2,586;R
ES0021000003073076YC;05/01/2023;4;2,522;R
ES0021000003073076YC;05/01/2023;5;2,414;R
ES0021000003073076YC;05/01/2023;6;0,671;R
ES0021000003073076YC;05/01/2023;7;1,423;R
ES0021000003073076YC;05/01/2023;8;0,404;R
ES0021000003073076YC;05/01/2023;9;0,527;R
ES0021000003073076YC;05/01/2023;10;0,559;R
