CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000004500478JL;01/01/2022;1;2,367;R
ES0021000004500478JL;01/01/2022;2;2,973;R
ES0021000004500478JL;01/01/2022;3;1,382;R
ES0021000004500478JL;01/01/2022;4;1,419;R
ES0021000004500478JL;01/01/2022;5;1,062;R
ES0021000004500478JL;01/01/2022;6;1,260;R
ES0021000004500478JL;01/01/2022;7;1,062;R
ES0021000004500478JL;01/01/2022;8;1,220;R
ES0021000004500478JL;01/01/2022;9;1,064;R
ES0021000004500478JL;01/01/2022;10;2,954;R
ES0021000004500478JL;01/01/2022;11;3,449;R
ES0021000004500478JL;01/01/2022;12;3,197;R
ES0021000004500478JL;01/01/2022;13;2,513;R
ES0021000004500478JL;01/01/2022;14;3,180;R
ES0021000004500478JL;01/01/2022;15;3,218;R
ES0021000004500478JL;01/01/2022;16;2,571;R
ES0021000004500478JL;01/01/2022;17;1,925;R
ES0021000004500478JL;01/01/2022;18;1,913;R
ES0021000004500478JL;01/01/2022;19;1,820;R
ES0021000004500478JL;01/01/2022;20;1,457;R
ES0021000004500478JL;01/01/2022;21;1,428;R
ES0021000004500478JL;01/01/2022;22;1,269;R
ES0021000004500478JL;01/01/2022;23;0,848;R
ES0021000004500478JL;01/01/2022;24;1,719;R
ES0021000004500478JL;02/01/2022;1;1,643;R
ES0021000004500478JL;02/01/2022;2;1,614;R
ES0021000004500478JL;02/01/2022;3;1,565;R
ES0021000004500478JL;02/01/2022;4;0,541;R
ES0021000004500478JL;02/01/2022;5;0,642;R
ES0021000004500478JL;02/01/2022;6;0,669;R
ES0021000004500478JL;02/01/2022;7;0,845;R
ES0021000004500478JL;02/01/2022;8;0,667;R
ES0021000004500478JL;02/01/2022;9;0,545;R
ES0021000004500478JL;02/01/2022;10;0,806;R
ES0021000004500478JL;02/01/2022;11;1,032;R
ES0021000004500478JL;02/01/2022;12;0,811;R
ES0021000004500478JL;02/01/2022;13;1,069;R
ES0021000004500478JL;02/01/2022;14;0,963;R
ES0021000004500478JL;02/01/2022;15;1,583;R
ES0021000004500478JL;02/01/2022;16;1,722;R
ES0021000004500478JL;02/01/2022;17;1,525;R
ES0021000004500478JL;02/01/2022;18;1,722;R
ES0021000004500478JL;02/01/2022;19;1,576;R
ES0021000004500478JL;02/01/2022;20;1,677;R
ES0021000004500478JL;02/01/2022;21;1,638;R
ES0021000004500478JL;02/01/2022;22;2,140;R
ES0021000004500478JL;02/01/2022;23;1,778;R
ES0021000004500478JL;02/01/2022;24;2,492;R
ES0021000004500478JL;03/01/2022;1;2,190;R
ES0021000004500478JL;03/01/2022;2;0,498;R
ES0021000004500478JL;03/01/2022;3;0,612;R
ES0021000004500478JL;03/01/2022;4;0,609;R
ES0021000004500478JL;03/01/2022;5;0,625;R
ES0021000004500478JL;03/01/2022;6;0,496;R
ES0021000004500478JL;03/01/2022;7;0,581;R
ES0021000004500478JL;03/01/2022;8;0,524;R
ES0021000004500478JL;03/01/2022;9;0,903;R
ES0021000004500478JL;03/01/2022;10;0,808;R
ES0021000004500478JL;03/01/2022;11;1,083;R
