Datetime;Energy;Month;Day;Hour
2022-01-01;2,367;1;1;1
2022-01-01;2,973;1;1;2
2022-01-01;1,382;1;1;3
2022-01-01;1,419;1;1;4
2022-01-01;1,062;1;1;5
2022-01-01;1,26;1;1;6
2022-01-01;1,062;1;1;7
2022-01-01;1,22;1;1;8
2022-01-01;1,064;1;1;9
2022-01-01;2,954;1;1;10
2022-01-01;3,449;1;1;11
2022-01-01;3,197;1;1;12
2022-01-01;2,513;1;1;13
2022-01-01;3,18;1;1;14
2022-01-01;3,218;1;1;15
2022-01-01;2,571;1;1;16
2022-01-01;1,925;1;1;17
2022-01-01;1,913;1;1;18
2022-01-01;1,82;1;1;19
2022-01-01;1,457;1;1;20
2022-01-01;1,428;1;1;21
2022-01-01;1,269;1;1;22
2022-01-01;0,848;1;1;23
2022-01-01;1,719;1;1;24
2022-01-02;1,643;1;2;1
2022-01-02;1,614;1;2;2
2022-01-02;1,565;1;2;3
2022-01-02;0,541;1;2;4
2022-01-02;0,642;1;2;5
2022-01-02;0,669;1;2;6
2022-01-02;0,845;1;2;7
2022-01-02;0,667;1;2;8
2022-01-02;0,545;1;2;9
2022-01-02;0,806;1;2;10
2022-01-02;1,032;1;2;11
2022-01-02;0,811;1;2;12
2022-01-02;1,069;1;2;13
2022-01-02;0,963;1;2;14
2022-01-02;1,583;1;2;15
2022-01-02;1,722;1;2;16
2022-01-02;1,525;1;2;17
2022-01-02;1,722;1;2;18
2022-01-02;1,576;1;2;19
2022-01-02;1,677;1;2;20
2022-01-02;1,638;1;2;21
2022-01-02;2,14;1;2;22
2022-01-02;1,778;1;2;23
2022-01-02;2,492;1;2;24
2022-01-03;2,19;1;3;1
2022-01-03;0,498;1;3;2
2022-01-03;0,612;1;3;3
2022-01-03;0,609;1;3;4
2022-01-03;0,625;1;3;5
2022-01-03;0,496;1;3;6
2022-01-03;0,581;1;3;7
2022-01-03;0,524;1;3;8
2022-01-03;0,903;1;3;9
2022-01-03;0,808;1;3;10
2022-01-03;1,083;1;3;11
2022-01-03;1,521;1;3;12
2022-01-03;1,862;1;3;13
2022-01-03;2,74;1;3;14
2022-01-03;1,759;1;3;15
2022-01-03;1,328;1;3;16
2022-01-03;0,717;1;3;17
2022-01-03;0,781;1;3;18
2022-01-03;0,78;1;3;19
2022-01-03;1,769;1;3;20
2022-01-03;1,819;1;3;21
2022-01-03;1,556;1;3;22
2022-01-03;1,91;1;3;23
2022-01-03;1,665;1;3;24
2022-01-04;1,296;1;4;1
2022-01-04;0,562;1;4;2
2022-01-04;0,828;1;4;3
2022-01-04;0,671;1;4;4
2022-01-04;0,66;1;4;5
2022-01-04;0,698;1;4;6
2022-01-04;0,674;1;4;7
2022-01-04;0,632;1;4;8
2022-01-04;0,785;1;4;9
2022-01-04;1,328;1;4;10
2022-01-04;0,691;1;4;11
2022-01-04;1,389;1;4;12
2022-01-04;1,776;1;4;13
2022-01-04;1,184;1;4;14
2022-01-04;2,485;1;4;15
2022-01-04;2,402;1;4;16
2022-01-04;1,775;1;4;17
2022-01-04;2,05;1;4;18
2022-01-04;2,803;1;4;19
2022-01-04;2,556;1;4;20
2022-01-04;1,825;1;4;21
2022-01-04;2,237;1;4;22
2022-01-04;2,911;1;4;23
2022-01-04;2,998;1;4;24
2022-01-05;1,954;1;5;1
2022-01-05;0,982;1;5;2
2022-01-05;0,984;1;5;3
2022-01-05;1,034;1;5;4
2022-01-05;1,159;1;5;5
2022-01-05;1,225;1;5;6
2022-01-05;0,95;1;5;7
2022-01-05;1,268;1;5;8
2022-01-05;1,257;1;5;9
2022-01-05;1,735;1;5;10
2022-01-05;2,576;1;5;11
2022-01-05;1,802;1;5;12
2022-01-05;1,324;1;5;13
2022-01-05;1,546;1;5;14
2022-01-05;2,186;1;5;15
2022-01-05;2,069;1;5;16
2022-01-05;2,689;1;5;17
2022-01-05;2,564;1;5;18
2022-01-05;2,248;1;5;19
2022-01-05;1,997;1;5;20
2022-01-05;1,696;1;5;21
2022-01-05;1,861;1;5;22
2022-01-05;2,16;1;5;23
2022-01-05;1,801;1;5;24
2022-01-06;1,596;1;6;1
2022-01-06;1,71;1;6;2
2022-01-06;1,655;1;6;3
2022-01-06;1,761;1;6;4
2022-01-06;1,667;1;6;5
2022-01-06;1,379;1;6;6
2022-01-06;1,111;1;6;7
2022-01-06;1,453;1;6;8
2022-01-06;1,428;1;6;9
2022-01-06;1,432;1;6;10
2022-01-06;1,639;1;6;11
2022-01-06;1,066;1;6;12
2022-01-06;2,755;1;6;13
2022-01-06;3,498;1;6;14
2022-01-06;3,265;1;6;15
2022-01-06;2,8;1;6;16
2022-01-06;3,263;1;6;17
2022-01-06;3,367;1;6;18
2022-01-06;2,795;1;6;19
2022-01-06;2,786;1;6;20
2022-01-06;3,692;1;6;21
2022-01-06;3,237;1;6;22
2022-01-06;2,946;1;6;23
2022-01-06;2,488;1;6;24
2022-01-07;2,537;1;7;1
2022-01-07;1,19;1;7;2
2022-01-07;0,694;1;7;3
2022-01-07;0,826;1;7;4
2022-01-07;0,926;1;7;5
2022-01-07;1,241;1;7;6
2022-01-07;0,89;1;7;7
2022-01-07;1,04;1;7;8
2022-01-07;1,651;1;7;9
2022-01-07;2,214;1;7;10
2022-01-07;1,301;1;7;11
2022-01-07;0,98;1;7;12
2022-01-07;0,686;1;7;13
2022-01-07;1,7;1;7;14
2022-01-07;1,158;1;7;15
2022-01-07;1,518;1;7;16
2022-01-07;1,428;1;7;17
2022-01-07;1,704;1;7;18
2022-01-07;1,842;1;7;19
2022-01-07;1,56;1;7;20
2022-01-07;2,193;1;7;21
2022-01-07;3,389;1;7;22
2022-01-07;3,571;1;7;23
2022-01-07;3,74;1;7;24
2022-01-08;3,054;1;8;1
2022-01-08;1,587;1;8;2
2022-01-08;0,935;1;8;3
2022-01-08;1,109;1;8;4
2022-01-08;0,905;1;8;5
2022-01-08;1,171;1;8;6
2022-01-08;0,863;1;8;7
2022-01-08;1,278;1;8;8
2022-01-08;1,715;1;8;9
2022-01-08;2,688;1;8;10
2022-01-08;1,351;1;8;11
2022-01-08;4,853;1;8;12
2022-01-08;5,358;1;8;13
2022-01-08;5,561;1;8;14
2022-01-08;4,325;1;8;15
2022-01-08;3,415;1;8;16
2022-01-08;3,476;1;8;17
2022-01-08;3,137;1;8;18
2022-01-08;2,979;1;8;19
2022-01-08;3,575;1;8;20
2022-01-08;3,476;1;8;21
2022-01-08;4,12;1;8;22
2022-01-08;4,148;1;8;23
2022-01-08;4,2;1;8;24
