;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;227.63400000000001;137.46699999999998;128.874;84.492;55.681;58.435;75.278;59.246;51.892;58.548;106.625;155.092
nocturna_Llana;274.458;156.9;127.271;87.214;41.837;39.173;74.541;48.214999999999996;46.37;48.505;106.397;173.536
nocturna_Valle;636.788;339.667;293.573;244.443;163.774;158.756;268.539;146.845;147.638;168.201;272.245;352.825
Surpluses;62.296;134.248;183.876;257.803;427.879;459.641;432.202;473.603;365.83;296.037;113.478;108.465
14h_Promocionadas;636.127;381.36;304.027;256.92;161.736;149.606;266.34;162.084;155.817;163.211;268.89300000000003;344.217
14h_No promocionadas;502.753;252.674;245.691;159.229;99.556;106.758;152.018;92.222;90.083;112.043;216.374;337.236
6h_Promocionadas;251.268;151.066;137.981;127.484;85.233;81.31;132.161;86.963;86.351;85.146;115.592;128.862
6h_No promocionadas;887.612;482.968;411.737;288.665;176.059;175.054;286.197;167.343;159.549;190.108;369.675;552.591
16h_Promocionadas;913.719;560.103;481.546;375.578;245.701;246.201;402.16700000000003;242.077;240.648;253.045;393.94;540.021
16h_No promocionadas;225.161;73.931;68.172;40.571;15.591;10.163;16.191;12.229;5.252000000000001;22.209;91.327;141.432
