;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;228.777;138.44;130.162;85.199;55.68;59.925;77.325;59.599;52.05;58.909;107.377;155.586
nocturna_Llana;271.47;157.504;131.314;91.315;43.224;41.151;77.183;49.592999999999996;48.801;49.189;106.222;171.874
nocturna_Valle;635.73;340.415;295.654;247.185;166.597;162.28;273.158;147.863;148.58;168.671;272.676;352.969
Surpluses;66.827;133.311;173.143;232.275;379.632;403.684;380.825;431.84499999999997;343.69599999999997;289.639;115.976;116.347
14h_Promocionadas;633.368;381.831;305.147;258.451;162.516;150.77;268.157;162.781;156.245;163.427;269.36;343.715
14h_No promocionadas;502.609;254.528;251.983;165.248;102.985;112.586;159.50900000000001;94.274;93.186;113.342;216.915;336.714
6h_Promocionadas;251.268;151.066;137.981;127.655;85.755;82.218;133.397;87.295;86.341;85.146;115.592;128.862
6h_No promocionadas;884.709;485.293;419.149;296.044;179.746;181.138;294.269;169.76;163.09;191.623;370.683;551.567
16h_Promocionadas;911.429;559.81;483.128;378.282;247.9;251.392;408.923;243.628;242.577;252.821;393.679;539.291
16h_No promocionadas;224.548;76.54899999999999;74.002;45.417;17.601;11.964;18.743000000000002;13.427;6.854;23.948;92.596;141.138
