;0;1;2;3;4;5;6;7;8;9;10;11
nocturna_Punta;240.34;141.774;128.636;83.294;51.223;52.787;68.748;55.379;51.769;58.643;112.251;165.853
nocturna_Llana;307.231;171.444;130.186;85.509;41.458999999999996;37.968;73.027;48.059;46.195;52.537;121.0;196.981
nocturna_Valle;662.391;346.269;297.545;244.523;160.147;154.104;262.694;145.72;147.769;173.093;277.90500000000003;363.652
Surpluses;15.376999999999999;59.008;121.199;222.004;415.407;461.63;423.23;437.24;295.495;199.987;50.951;36.589
14h_Promocionadas;672.833;393.271;307.761;258.324;161.608;148.986;265.566;163.187;157.627;170.887;279.359;365.285
14h_No promocionadas;537.129;266.216;248.606;155.002;91.221;95.873;138.903;85.971;88.106;113.386;231.797;361.201
6h_Promocionadas;251.268;151.066;137.981;127.729;85.086;80.731;131.1;87.215;86.488;85.146;115.592;128.862
6h_No promocionadas;958.694;508.421;418.386;285.597;167.743;164.12800000000001;273.369;161.943;159.245;199.127;395.564;597.624
16h_Promocionadas;923.356;566.466;483.754;373.554;237.748;235.718;389.66700000000003;237.111;240.415;259.983;398.509;545.556
16h_No promocionadas;286.606;93.021;72.613;39.772;15.081;9.141;14.802;12.046999999999999;5.3180000000000005;24.29;112.647;180.93
