Latitude (decimal degrees):	40.330
Longitude (decimal degrees):	-3.761
Radiation database:	PVGIS-SARAH2
Nominal power of the PV system (c-Si) (kWp):	4.5
System losses(%):	18.0
Fixed slope of modules (deg.):	0
Orientation (azimuth) of modules (deg.):	0

Fixed angle
Month		E_d		E_m		H(i)_d		H(i)_m		SD_m
1		7.72		239.31		2.29		71.04		30.82
2		11.09		310.53		3.25		91.07		31.18
3		15.16		469.85		4.48		139.01		42.49
4		18.8		564.06		5.7		171.01		33.71
5		21.77		674.76		6.79		210.35		54.05
6		23.89		716.69		7.68		230.28		25.94
7		24.29		753.08		7.96		246.79		20.89
8		21.55		668.19		7.02		217.64		17.49
9		17.33		519.96		5.47		164.14		14.6
10		12.3		381.28		3.76		116.42		27.13
11		8.36		250.79		2.5		75.07		26.29
12		6.93		214.69		2.09		64.83		15.02
Year		15.79		480.26		4.93		149.8		10.59
		AOI loss (%)		Spectral effects (%)		Temperature and low irradiance loss (%)		Combined loss (%)
Fixed angle:		-3.77		0.42		-11.08		-29.54

E_d: Average daily energy production from the given system (kWh/d)
E_m: Average monthly energy production from the given system (kWh/mo)
H(i)_d: Average daily sum of global irradiation per square meter received by the modules of the given system (kWh/m2/d)
H(i)_m: Average monthly sum of global irradiation per square meter received by the modules of the given system (kWh/m2/mo)
SD_m: Standard deviation of the monthly energy production due to year-to-year variation (kWh)


PVGIS (c) European Union, 2001-2023
