Energy;Month;Day;Hour
0,0;1;1;0
0,0;1;1;1
0,0;1;1;2
0,0;1;1;3
0,0;1;1;4
0,0;1;1;5
0,0;1;1;6
0,0;1;1;7
0,293;1;1;8
1,529;1;1;9
2,114;1;1;10
2,316;1;1;11
2,365;1;1;12
2,177;1;1;13
1,835;1;1;14
1,3;1;1;15
0,284;1;1;16
0,0;1;1;17
0,0;1;1;18
0,0;1;1;19
0,0;1;1;20
0,0;1;1;21
0,0;1;1;22
0,0;1;1;23
0,0;1;2;0
0,0;1;2;1
0,0;1;2;2
0,0;1;2;3
0,0;1;2;4
0,0;1;2;5
0,0;1;2;6
0,0;1;2;7
0,478;1;2;8
1,564;1;2;9
2,127;1;2;10
2,344;1;2;11
2,379;1;2;12
2,197;1;2;13
1,834;1;2;14
1,274;1;2;15
0,498;1;2;16
0,0;1;2;17
0,0;1;2;18
0,0;1;2;19
0,0;1;2;20
0,0;1;2;21
0,0;1;2;22
0,0;1;2;23
0,0;1;3;0
0,0;1;3;1
0,0;1;3;2
0,0;1;3;3
0,0;1;3;4
0,0;1;3;5
0,0;1;3;6
0,0;1;3;7
0,052;1;3;8
0,319;1;3;9
0,389;1;3;10
0,805;1;3;11
0,701;1;3;12
0,651;1;3;13
0,732;1;3;14
0,699;1;3;15
0,351;1;3;16
0,0;1;3;17
0,0;1;3;18
0,0;1;3;19
0,0;1;3;20
0,0;1;3;21
0,0;1;3;22
0,0;1;3;23
0,0;1;4;0
0,0;1;4;1
0,0;1;4;2
0,0;1;4;3
0,0;1;4;4
0,0;1;4;5
0,0;1;4;6
0,0;1;4;7
0,664;1;4;8
1,576;1;4;9
2,124;1;4;10
2,389;1;4;11
2,455;1;4;12
2,292;1;4;13
1,937;1;4;14
1,347;1;4;15
0,533;1;4;16
0,0;1;4;17
0,0;1;4;18
0,0;1;4;19
0,0;1;4;20
0,0;1;4;21
0,0;1;4;22
0,0;1;4;23
0,0;1;5;0
0,0;1;5;1
0,0;1;5;2
0,0;1;5;3
0,0;1;5;4
0,0;1;5;5
0,0;1;5;6
0,0;1;5;7
0,56;1;5;8
1,541;1;5;9
2,082;1;5;10
2,303;1;5;11
2,333;1;5;12
2,186;1;5;13
1,861;1;5;14
1,336;1;5;15
0,542;1;5;16
0,0;1;5;17
0,0;1;5;18
0,0;1;5;19
0,0;1;5;20
0,0;1;5;21
0,0;1;5;22
0,0;1;5;23
0,0;1;6;0
0,0;1;6;1
0,0;1;6;2
0,0;1;6;3
0,0;1;6;4
0,0;1;6;5
0,0;1;6;6
0,0;1;6;7
0,623;1;6;8
1,548;1;6;9
2,069;1;6;10
2,293;1;6;11
2,339;1;6;12
2,209;1;6;13
1,882;1;6;14
1,345;1;6;15
0,568;1;6;16
0,0;1;6;17
0,0;1;6;18
0,0;1;6;19
0,0;1;6;20
0,0;1;6;21
0,0;1;6;22
0,0;1;6;23
0,0;1;7;0
0,0;1;7;1
0,0;1;7;2
0,0;1;7;3
0,0;1;7;4
0,0;1;7;5
0,0;1;7;6
0,0;1;7;7
0,621;1;7;8
1,568;1;7;9
2,087;1;7;10
2,327;1;7;11
2,383;1;7;12
2,256;1;7;13
1,901;1;7;14
1,362;1;7;15
0,576;1;7;16
0,0;1;7;17
0,0;1;7;18
0,0;1;7;19
0,0;1;7;20
0,0;1;7;21
0,0;1;7;22
0,0;1;7;23
0,0;1;8;0
0,0;1;8;1
0,0;1;8;2
0,0;1;8;3
0,0;1;8;4
0,0;1;8;5
0,0;1;8;6
0,0;1;8;7
0,192;1;8;8
1,013;1;8;9
2,025;1;8;10
2,348;1;8;11
2,29;1;8;12
2,157;1;8;13
1,822;1;8;14
1,295;1;8;15
0,549;1;8;16
0,0;1;8;17
0,0;1;8;18
0,0;1;8;19
0,0;1;8;20
0,0;1;8;21
0,0;1;8;22
0,0;1;8;23
0,0;1;9;0
0,0;1;9;1
0,0;1;9;2
0,0;1;9;3
0,0;1;9;4
0,0;1;9;5
0,0;1;9;6
0,0;1;9;7
0,587;1;9;8
1,524;1;9;9
2,008;1;9;10
2,278;1;9;11
2,314;1;9;12
2,19;1;9;13
1,868;1;9;14
1,34;1;9;15
0,551;1;9;16
0,0;1;9;17
0,0;1;9;18
0,0;1;9;19
0,0;1;9;20
0,0;1;9;21
0,0;1;9;22
0,0;1;9;23
0,0;1;10;0
0,0;1;10;1
0,0;1;10;2
0,0;1;10;3
0,0;1;10;4
0,0;1;10;5
0,0;1;10;6
0,0;1;10;7
0,707;1;10;8
1,518;1;10;9
2,12;1;10;10
2,362;1;10;11
2,439;1;10;12
2,316;1;10;13
1,978;1;10;14
1,406;1;10;15
0,597;1;10;16
0,0;1;10;17
0,0;1;10;18
0,0;1;10;19
0,0;1;10;20
0,0;1;10;21
0,0;1;10;22
0,0;1;10;23
0,0;1;11;0
0,0;1;11;1
0,0;1;11;2
0,0;1;11;3
0,0;1;11;4
0,0;1;11;5
0,0;1;11;6
0,0;1;11;7
0,673;1;11;8
1,586;1;11;9
2,121;1;11;10
2,363;1;11;11
2,411;1;11;12
2,258;1;11;13
1,942;1;11;14
1,396;1;11;15
0,633;1;11;16
0,0;1;11;17
0,0;1;11;18
0,0;1;11;19
0,0;1;11;20
0,0;1;11;21
0,0;1;11;22
0,0;1;11;23
0,0;1;12;0
0,0;1;12;1
0,0;1;12;2
0,0;1;12;3
0,0;1;12;4
0,0;1;12;5
0,0;1;12;6
0,0;1;12;7
0,595;1;12;8
1,58;1;12;9
2,116;1;12;10
2,372;1;12;11
2,393;1;12;12
2,27;1;12;13
1,978;1;12;14
1,446;1;12;15
0,658;1;12;16
0,0;1;12;17
0,0;1;12;18
0,0;1;12;19
0,0;1;12;20
0,0;1;12;21
0,0;1;12;22
0,0;1;12;23
0,0;1;13;0
0,0;1;13;1
0,0;1;13;2
0,0;1;13;3
0,0;1;13;4
0,0;1;13;5
0,0;1;13;6
0,0;1;13;7
0,265;1;13;8
0,957;1;13;9
1,705;1;13;10
2,124;1;13;11
2,342;1;13;12
2,175;1;13;13
1,681;1;13;14
1,141;1;13;15
0,29;1;13;16
0,0;1;13;17
0,0;1;13;18
0,0;1;13;19
0,0;1;13;20
0,0;1;13;21
0,0;1;13;22
0,0;1;13;23
0,0;1;14;0
0,0;1;14;1
0,0;1;14;2
0,0;1;14;3
0,0;1;14;4
0,0;1;14;5
0,0;1;14;6
0,0;1;14;7
0,634;1;14;8
1,545;1;14;9
2,036;1;14;10
2,263;1;14;11
2,366;1;14;12
2,273;1;14;13
1,894;1;14;14
1,429;1;14;15
0,633;1;14;16
0,0;1;14;17
0,0;1;14;18
0,0;1;14;19
0,0;1;14;20
0,0;1;14;21
0,0;1;14;22
0,0;1;14;23
0,0;1;15;0
0,0;1;15;1
0,0;1;15;2
0,0;1;15;3
0,0;1;15;4
0,0;1;15;5
0,0;1;15;6
0,0;1;15;7
0,007;1;15;8
0,131;1;15;9
0,34;1;15;10
0,346;1;15;11
0,342;1;15;12
0,69;1;15;13
0,45;1;15;14
0,419;1;15;15
0,067;1;15;16
0,0;1;15;17
0,0;1;15;18
0,0;1;15;19
0,0;1;15;20
0,0;1;15;21
0,0;1;15;22
0,0;1;15;23
0,0;1;16;0
0,0;1;16;1
0,0;1;16;2
0,0;1;16;3
0,0;1;16;4
0,0;1;16;5
0,0;1;16;6
0,0;1;16;7
0,0;1;16;8
0,513;1;16;9
0,45;1;16;10
0,688;1;16;11
1,105;1;16;12
1,567;1;16;13
1,691;1;16;14
1,362;1;16;15
0,416;1;16;16
0,0;1;16;17
0,0;1;16;18
0,0;1;16;19
0,0;1;16;20
0,0;1;16;21
0,0;1;16;22
0,0;1;16;23
0,0;1;17;0
0,0;1;17;1
0,0;1;17;2
0,0;1;17;3
0,0;1;17;4
0,0;1;17;5
0,0;1;17;6
0,0;1;17;7
0,525;1;17;8
0,636;1;17;9
1,341;1;17;10
1,356;1;17;11
1,663;1;17;12
0,689;1;17;13
1,149;1;17;14
1,421;1;17;15
0,722;1;17;16
0,0;1;17;17
0,0;1;17;18
0,0;1;17;19
0,0;1;17;20
0,0;1;17;21
0,0;1;17;22
0,0;1;17;23
0,0;1;18;0
0,0;1;18;1
0,0;1;18;2
0,0;1;18;3
0,0;1;18;4
0,0;1;18;5
0,0;1;18;6
0,0;1;18;7
0,708;1;18;8
0,448;1;18;9
0,54;1;18;10
0,389;1;18;11
0,199;1;18;12
0,178;1;18;13
0,219;1;18;14
0,225;1;18;15
0,152;1;18;16
0,0;1;18;17
0,0;1;18;18
0,0;1;18;19
0,0;1;18;20
0,0;1;18;21
0,0;1;18;22
0,0;1;18;23
0,0;1;19;0
0,0;1;19;1
0,0;1;19;2
0,0;1;19;3
0,0;1;19;4
0,0;1;19;5
0,0;1;19;6
0,0;1;19;7
0,284;1;19;8
0,398;1;19;9
0,436;1;19;10
0,763;1;19;11
0,612;1;19;12
0,521;1;19;13
1,326;1;19;14
1,611;1;19;15
0,433;1;19;16
0,0;1;19;17
0,0;1;19;18
0,0;1;19;19
0,0;1;19;20
0,0;1;19;21
0,0;1;19;22
0,0;1;19;23
0,0;1;20;0
0,0;1;20;1
0,0;1;20;2
0,0;1;20;3
0,0;1;20;4
0,0;1;20;5
0,0;1;20;6
0,0;1;20;7
0,753;1;20;8
1,161;1;20;9
0,877;1;20;10
0,89;1;20;11
0,58;1;20;12
0,701;1;20;13
0,788;1;20;14
0,125;1;20;15
0,099;1;20;16
0,0;1;20;17
0,0;1;20;18
0,0;1;20;19
0,0;1;20;20
0,0;1;20;21
0,0;1;20;22
0,0;1;20;23
0,0;1;21;0
0,0;1;21;1
0,0;1;21;2
0,0;1;21;3
0,0;1;21;4
0,0;1;21;5
0,0;1;21;6
0,0;1;21;7
0,152;1;21;8
0,151;1;21;9
0,254;1;21;10
0,184;1;21;11
0,566;1;21;12
1,065;1;21;13
0,623;1;21;14
0,118;1;21;15
0,081;1;21;16
0,0;1;21;17
0,0;1;21;18
0,0;1;21;19
0,0;1;21;20
0,0;1;21;21
0,0;1;21;22
0,0;1;21;23
0,0;1;22;0
0,0;1;22;1
0,0;1;22;2
0,0;1;22;3
0,0;1;22;4
0,0;1;22;5
0,0;1;22;6
0,0;1;22;7
0,103;1;22;8
0,511;1;22;9
0,245;1;22;10
0,894;1;22;11
2,07;1;22;12
1,203;1;22;13
0,422;1;22;14
0,172;1;22;15
0,231;1;22;16
0,0;1;22;17
0,0;1;22;18
0,0;1;22;19
0,0;1;22;20
0,0;1;22;21
0,0;1;22;22
0,0;1;22;23
0,0;1;23;0
0,0;1;23;1
0,0;1;23;2
0,0;1;23;3
0,0;1;23;4
0,0;1;23;5
0,0;1;23;6
0,0;1;23;7
0,655;1;23;8
1,024;1;23;9
1,917;1;23;10
2,153;1;23;11
2,464;1;23;12
2,352;1;23;13
1,873;1;23;14
1,497;1;23;15
0,739;1;23;16
0,0;1;23;17
0,0;1;23;18
0,0;1;23;19
0,0;1;23;20
0,0;1;23;21
0,0;1;23;22
0,0;1;23;23
0,0;1;24;0
0,0;1;24;1
0,0;1;24;2
0,0;1;24;3
0,0;1;24;4
0,0;1;24;5
0,0;1;24;6
0,0;1;24;7
0,68;1;24;8
0,261;1;24;9
0,225;1;24;10
0,375;1;24;11
0,553;1;24;12
0,366;1;24;13
0,662;1;24;14
0,438;1;24;15
0,21;1;24;16
0,0;1;24;17
0,0;1;24;18
0,0;1;24;19
0,0;1;24;20
0,0;1;24;21
0,0;1;24;22
0,0;1;24;23
0,0;1;25;0
0,0;1;25;1
0,0;1;25;2
0,0;1;25;3
0,0;1;25;4
0,0;1;25;5
0,0;1;25;6
0,0;1;25;7
0,411;1;25;8
1,258;1;25;9
1,012;1;25;10
0,1;1;25;11
0,235;1;25;12
0,143;1;25;13
0,636;1;25;14
0,425;1;25;15
0,192;1;25;16
0,0;1;25;17
0,0;1;25;18
0,0;1;25;19
0,0;1;25;20
0,0;1;25;21
0,0;1;25;22
0,0;1;25;23
0,0;1;26;0
0,0;1;26;1
0,0;1;26;2
0,0;1;26;3
0,0;1;26;4
0,0;1;26;5
0,0;1;26;6
0,0;1;26;7
0,767;1;26;8
1,581;1;26;9
2,189;1;26;10
2,447;1;26;11
2,443;1;26;12
1,717;1;26;13
1,489;1;26;14
1,547;1;26;15
0,823;1;26;16
0,0;1;26;17
0,0;1;26;18
0,0;1;26;19
0,0;1;26;20
0,0;1;26;21
0,0;1;26;22
0,0;1;26;23
0,0;1;27;0
0,0;1;27;1
0,0;1;27;2
0,0;1;27;3
0,0;1;27;4
0,0;1;27;5
0,0;1;27;6
0,0;1;27;7
0,041;1;27;8
0,214;1;27;9
0,515;1;27;10
0,622;1;27;11
0,405;1;27;12
0,651;1;27;13
0,91;1;27;14
0,599;1;27;15
0,326;1;27;16
0,0;1;27;17
0,0;1;27;18
0,0;1;27;19
0,0;1;27;20
0,0;1;27;21
0,0;1;27;22
0,0;1;27;23
0,0;1;28;0
0,0;1;28;1
0,0;1;28;2
0,0;1;28;3
0,0;1;28;4
0,0;1;28;5
0,0;1;28;6
0,0;1;28;7
0,141;1;28;8
1,092;1;28;9
0,775;1;28;10
0,583;1;28;11
0,498;1;28;12
0,916;1;28;13
0,6;1;28;14
0,555;1;28;15
0,404;1;28;16
0,0;1;28;17
0,0;1;28;18
0,0;1;28;19
0,0;1;28;20
0,0;1;28;21
0,0;1;28;22
0,0;1;28;23
0,0;1;29;0
0,0;1;29;1
0,0;1;29;2
0,0;1;29;3
0,0;1;29;4
0,0;1;29;5
0,0;1;29;6
0,0;1;29;7
0,104;1;29;8
0,291;1;29;9
1,063;1;29;10
1,714;1;29;11
2,139;1;29;12
2,128;1;29;13
1,342;1;29;14
0,982;1;29;15
0,335;1;29;16
0,0;1;29;17
0,0;1;29;18
0,0;1;29;19
0,0;1;29;20
0,0;1;29;21
0,0;1;29;22
0,0;1;29;23
0,0;1;30;0
0,0;1;30;1
0,0;1;30;2
0,0;1;30;3
0,0;1;30;4
0,0;1;30;5
0,0;1;30;6
0,0;1;30;7
0,315;1;30;8
0,236;1;30;9
0,24;1;30;10
0,823;1;30;11
1,021;1;30;12
1,06;1;30;13
0,462;1;30;14
1,626;1;30;15
0,835;1;30;16
0,009;1;30;17
0,0;1;30;18
0,0;1;30;19
0,0;1;30;20
0,0;1;30;21
0,0;1;30;22
0,0;1;30;23
0,0;1;31;0
0,0;1;31;1
0,0;1;31;2
0,0;1;31;3
0,0;1;31;4
0,0;1;31;5
0,0;1;31;6
0,0;1;31;7
0,608;1;31;8
1,271;1;31;9
1,445;1;31;10
2,025;1;31;11
2,447;1;31;12
2,263;1;31;13
0,907;1;31;14
0,675;1;31;15
0,817;1;31;16
0,0;1;31;17
0,0;1;31;18
0,0;1;31;19
0,0;1;31;20
0,0;1;31;21
0,0;1;31;22
0,0;1;31;23
0,0;2;1;0
0,0;2;1;1
0,0;2;1;2
0,0;2;1;3
0,0;2;1;4
0,0;2;1;5
0,0;2;1;6
0,0;2;1;7
0,246;2;1;8
0,729;2;1;9
0,956;2;1;10
2,221;2;1;11
2,458;2;1;12
2,339;2;1;13
1,998;2;1;14
1,424;2;1;15
0,796;2;1;16
0,013;2;1;17
0,0;2;1;18
0,0;2;1;19
0,0;2;1;20
0,0;2;1;21
0,0;2;1;22
0,0;2;1;23
0,0;2;2;0
