Energy;Month;Day;Hour
0,0;1;1;0
0,0;1;1;1
0,0;1;1;2
0,0;1;1;3
0,0;1;1;4
0,0;1;1;5
0,0;1;1;6
0,0;1;1;7
0,064;1;1;8
0,615;1;1;9
1,171;1;1;10
1,497;1;1;11
1,627;1;1;12
1,52;1;1;13
1,228;1;1;14
0,749;1;1;15
0,169;1;1;16
0,0;1;1;17
0,0;1;1;18
0,0;1;1;19
0,0;1;1;20
0,0;1;1;21
0,0;1;1;22
0,0;1;1;23
0,0;1;2;0
0,0;1;2;1
0,0;1;2;2
0,0;1;2;3
0,0;1;2;4
0,0;1;2;5
0,0;1;2;6
0,0;1;2;7
0,062;1;2;8
0,615;1;2;9
1,172;1;2;10
1,508;1;2;11
1,633;1;2;12
1,532;1;2;13
1,23;1;2;14
0,746;1;2;15
0,19;1;2;16
0,0;1;2;17
0,0;1;2;18
0,0;1;2;19
0,0;1;2;20
0,0;1;2;21
0,0;1;2;22
0,0;1;2;23
0,0;1;3;0
0,0;1;3;1
0,0;1;3;2
0,0;1;3;3
0,0;1;3;4
0,0;1;3;5
0,0;1;3;6
0,0;1;3;7
0,046;1;3;8
0,315;1;3;9
0,452;1;3;10
0,815;1;3;11
0,775;1;3;12
0,726;1;3;13
0,729;1;3;14
0,565;1;3;15
0,184;1;3;16
0,0;1;3;17
0,0;1;3;18
0,0;1;3;19
0,0;1;3;20
0,0;1;3;21
0,0;1;3;22
0,0;1;3;23
0,0;1;4;0
0,0;1;4;1
0,0;1;4;2
0,0;1;4;3
0,0;1;4;4
0,0;1;4;5
0,0;1;4;6
0,0;1;4;7
0,057;1;4;8
0,618;1;4;9
1,171;1;4;10
1,525;1;4;11
1,667;1;4;12
1,578;1;4;13
1,282;1;4;14
0,78;1;4;15
0,204;1;4;16
0,0;1;4;17
0,0;1;4;18
0,0;1;4;19
0,0;1;4;20
0,0;1;4;21
0,0;1;4;22
0,0;1;4;23
0,0;1;5;0
0,0;1;5;1
0,0;1;5;2
0,0;1;5;3
0,0;1;5;4
0,0;1;5;5
0,0;1;5;6
0,0;1;5;7
0,06;1;5;8
0,615;1;5;9
1,163;1;5;10
1,499;1;5;11
1,621;1;5;12
1,538;1;5;13
1,257;1;5;14
0,783;1;5;15
0,21;1;5;16
0,0;1;5;17
0,0;1;5;18
0,0;1;5;19
0,0;1;5;20
0,0;1;5;21
0,0;1;5;22
0,0;1;5;23
0,0;1;6;0
0,0;1;6;1
0,0;1;6;2
0,0;1;6;3
0,0;1;6;4
0,0;1;6;5
0,0;1;6;6
0,0;1;6;7
0,058;1;6;8
0,619;1;6;9
1,163;1;6;10
1,499;1;6;11
1,63;1;6;12
1,557;1;6;13
1,275;1;6;14
0,796;1;6;15
0,22;1;6;16
0,0;1;6;17
0,0;1;6;18
0,0;1;6;19
0,0;1;6;20
0,0;1;6;21
0,0;1;6;22
0,0;1;6;23
0,0;1;7;0
0,0;1;7;1
0,0;1;7;2
0,0;1;7;3
0,0;1;7;4
0,0;1;7;5
0,0;1;7;6
0,0;1;7;7
0,059;1;7;8
0,63;1;7;9
1,177;1;7;10
1,525;1;7;11
1,662;1;7;12
1,59;1;7;13
1,293;1;7;14
0,81;1;7;15
0,231;1;7;16
0,0;1;7;17
0,0;1;7;18
0,0;1;7;19
0,0;1;7;20
0,0;1;7;21
0,0;1;7;22
0,0;1;7;23
0,0;1;8;0
0,0;1;8;1
0,0;1;8;2
0,0;1;8;3
0,0;1;8;4
0,0;1;8;5
0,0;1;8;6
0,0;1;8;7
0,065;1;8;8
0,525;1;8;9
1,142;1;8;10
1,52;1;8;11
1,601;1;8;12
1,528;1;8;13
1,248;1;8;14
0,782;1;8;15
0,226;1;8;16
0,0;1;8;17
0,0;1;8;18
0,0;1;8;19
0,0;1;8;20
0,0;1;8;21
0,0;1;8;22
0,0;1;8;23
0,0;1;9;0
0,0;1;9;1
0,0;1;9;2
0,0;1;9;3
0,0;1;9;4
0,0;1;9;5
0,0;1;9;6
0,0;1;9;7
0,058;1;9;8
0,608;1;9;9
1,139;1;9;10
1,49;1;9;11
1,617;1;9;12
1,553;1;9;13
1,277;1;9;14
0,808;1;9;15
0,237;1;9;16
0,0;1;9;17
0,0;1;9;18
0,0;1;9;19
0,0;1;9;20
0,0;1;9;21
0,0;1;9;22
0,0;1;9;23
0,0;1;10;0
0,0;1;10;1
0,0;1;10;2
0,0;1;10;3
0,0;1;10;4
0,0;1;10;5
0,0;1;10;6
0,0;1;10;7
0,058;1;10;8
0,625;1;10;9
1,193;1;10;10
1,541;1;10;11
1,69;1;10;12
1,628;1;10;13
1,346;1;10;14
0,853;1;10;15
0,257;1;10;16
0,0;1;10;17
0,0;1;10;18
0,0;1;10;19
0,0;1;10;20
0,0;1;10;21
0,0;1;10;22
0,0;1;10;23
0,0;1;11;0
0,0;1;11;1
0,0;1;11;2
0,0;1;11;3
0,0;1;11;4
0,0;1;11;5
0,0;1;11;6
0,0;1;11;7
0,064;1;11;8
0,652;1;11;9
1,21;1;11;10
1,562;1;11;11
1,701;1;11;12
1,621;1;11;13
1,35;1;11;14
0,866;1;11;15
0,271;1;11;16
0,0;1;11;17
0,0;1;11;18
0,0;1;11;19
0,0;1;11;20
0,0;1;11;21
0,0;1;11;22
0,0;1;11;23
0,0;1;12;0
0,0;1;12;1
0,0;1;12;2
0,0;1;12;3
0,0;1;12;4
0,0;1;12;5
0,0;1;12;6
0,0;1;12;7
0,07;1;12;8
0,659;1;12;9
1,225;1;12;10
1,585;1;12;11
1,711;1;12;12
1,646;1;12;13
1,383;1;12;14
0,9;1;12;15
0,288;1;12;16
0,0;1;12;17
0,0;1;12;18
0,0;1;12;19
0,0;1;12;20
0,0;1;12;21
0,0;1;12;22
0,0;1;12;23
0,0;1;13;0
0,0;1;13;1
0,0;1;13;2
0,0;1;13;3
0,0;1;13;4
0,0;1;13;5
0,0;1;13;6
0,0;1;13;7
0,075;1;13;8
0,546;1;13;9
1,088;1;13;10
1,474;1;13;11
1,685;1;13;12
1,599;1;13;13
1,252;1;13;14
0,804;1;13;15
0,233;1;13;16
0,0;1;13;17
0,0;1;13;18
0,0;1;13;19
0,0;1;13;20
0,0;1;13;21
0,0;1;13;22
0,0;1;13;23
0,0;1;14;0
0,0;1;14;1
0,0;1;14;2
0,0;1;14;3
0,0;1;14;4
0,0;1;14;5
0,0;1;14;6
0,0;1;14;7
0,069;1;14;8
0,656;1;14;9
1,199;1;14;10
1,534;1;14;11
1,695;1;14;12
1,649;1;14;13
1,351;1;14;14
0,907;1;14;15
0,304;1;14;16
0,0;1;14;17
0,0;1;14;18
0,0;1;14;19
0,0;1;14;20
0,0;1;14;21
0,0;1;14;22
0,0;1;14;23
0,0;1;15;0
0,0;1;15;1
0,0;1;15;2
0,0;1;15;3
0,0;1;15;4
0,0;1;15;5
0,0;1;15;6
0,0;1;15;7
0,009;1;15;8
0,162;1;15;9
0,412;1;15;10
0,425;1;15;11
0,42;1;15;12
0,776;1;15;13
0,536;1;15;14
0,456;1;15;15
0,083;1;15;16
0,0;1;15;17
0,0;1;15;18
0,0;1;15;19
0,0;1;15;20
0,0;1;15;21
0,0;1;15;22
0,0;1;15;23
0,0;1;16;0
0,0;1;16;1
0,0;1;16;2
0,0;1;16;3
0,0;1;16;4
0,0;1;16;5
0,0;1;16;6
0,0;1;16;7
0,001;1;16;8
0,416;1;16;9
0,511;1;16;10
0,754;1;16;11
1,067;1;16;12
1,301;1;16;13
1,256;1;16;14
0,887;1;16;15
0,275;1;16;16
0,0;1;16;17
0,0;1;16;18
0,0;1;16;19
0,0;1;16;20
0,0;1;16;21
0,0;1;16;22
0,0;1;16;23
0,0;1;17;0
0,0;1;17;1
0,0;1;17;2
0,0;1;17;3
0,0;1;17;4
0,0;1;17;5
0,0;1;17;6
0,0;1;17;7
0,075;1;17;8
0,461;1;17;9
0,961;1;17;10
1,142;1;17;11
1,363;1;17;12
0,78;1;17;13
1,014;1;17;14
0,922;1;17;15
0,332;1;17;16
0,0;1;17;17
0,0;1;17;18
0,0;1;17;19
0,0;1;17;20
0,0;1;17;21
0,0;1;17;22
0,0;1;17;23
0,0;1;18;0
0,0;1;18;1
0,0;1;18;2
0,0;1;18;3
0,0;1;18;4
0,0;1;18;5
0,0;1;18;6
0,0;1;18;7
0,073;1;18;8
0,393;1;18;9
0,584;1;18;10
0,477;1;18;11
0,245;1;18;12
0,219;1;18;13
0,27;1;18;14
0,277;1;18;15
0,173;1;18;16
0,0;1;18;17
0,0;1;18;18
0,0;1;18;19
0,0;1;18;20
0,0;1;18;21
0,0;1;18;22
0,0;1;18;23
0,0;1;19;0
0,0;1;19;1
0,0;1;19;2
0,0;1;19;3
0,0;1;19;4
0,0;1;19;5
0,0;1;19;6
0,0;1;19;7
0,085;1;19;8
0,377;1;19;9
0,506;1;19;10
0,821;1;19;11
0,719;1;19;12
0,627;1;19;13
1,127;1;19;14
1,024;1;19;15
0,309;1;19;16
0,0;1;19;17
0,0;1;19;18
0,0;1;19;19
0,0;1;19;20
0,0;1;19;21
0,0;1;19;22
0,0;1;19;23
0,0;1;20;0
0,0;1;20;1
0,0;1;20;2
0,0;1;20;3
0,0;1;20;4
0,0;1;20;5
0,0;1;20;6
0,0;1;20;7
0,083;1;20;8
0,616;1;20;9
0,798;1;20;10
0,916;1;20;11
0,694;1;20;12
0,802;1;20;13
0,83;1;20;14
0,154;1;20;15
0,123;1;20;16
0,0;1;20;17
0,0;1;20;18
0,0;1;20;19
0,0;1;20;20
0,0;1;20;21
0,0;1;20;22
0,0;1;20;23
0,0;1;21;0
0,0;1;21;1
0,0;1;21;2
0,0;1;21;3
0,0;1;21;4
0,0;1;21;5
0,0;1;21;6
0,0;1;21;7
0,083;1;21;8
0,187;1;21;9
0,313;1;21;10
0,226;1;21;11
0,677;1;21;12
1,071;1;21;13
0,704;1;21;14
0,146;1;21;15
0,101;1;21;16
0,0;1;21;17
0,0;1;21;18
0,0;1;21;19
0,0;1;21;20
0,0;1;21;21
0,0;1;21;22
0,0;1;21;23
0,0;1;22;0
0,0;1;22;1
0,0;1;22;2
0,0;1;22;3
0,0;1;22;4
0,0;1;22;5
0,0;1;22;6
0,0;1;22;7
0,078;1;22;8
0,441;1;22;9
0,301;1;22;10
0,919;1;22;11
1,602;1;22;12
1,158;1;22;13
0,51;1;22;14
0,212;1;22;15
0,24;1;22;16
0,0;1;22;17
0,0;1;22;18
0,0;1;22;19
0,0;1;22;20
0,0;1;22;21
0,0;1;22;22
0,0;1;22;23
0,0;1;23;0
0,0;1;23;1
0,0;1;23;2
0,0;1;23;3
0,0;1;23;4
0,0;1;23;5
0,0;1;23;6
0,0;1;23;7
0,098;1;23;8
0,602;1;23;9
1,216;1;23;10
1,542;1;23;11
1,81;1;23;12
1,759;1;23;13
1,414;1;23;14
1,023;1;23;15
0,408;1;23;16
0,0;1;23;17
0,0;1;23;18
0,0;1;23;19
0,0;1;23;20
0,0;1;23;21
0,0;1;23;22
0,0;1;23;23
0,0;1;24;0
0,0;1;24;1
0,0;1;24;2
0,0;1;24;3
0,0;1;24;4
0,0;1;24;5
0,0;1;24;6
0,0;1;24;7
0,128;1;24;8
0,298;1;24;9
0,277;1;24;10
0,46;1;24;11
0,665;1;24;12
0,45;1;24;13
0,74;1;24;14
0,495;1;24;15
0,231;1;24;16
0,0;1;24;17
0,0;1;24;18
0,0;1;24;19
0,0;1;24;20
0,0;1;24;21
0,0;1;24;22
0,0;1;24;23
0,0;1;25;0
0,0;1;25;1
0,0;1;25;2
0,0;1;25;3
0,0;1;25;4
0,0;1;25;5
0,0;1;25;6
0,0;1;25;7
0,124;1;25;8
0,663;1;25;9
0,871;1;25;10
0,124;1;25;11
0,289;1;25;12
0,176;1;25;13
0,72;1;25;14
0,487;1;25;15
0,219;1;25;16
0,0;1;25;17
0,0;1;25;18
0,0;1;25;19
0,0;1;25;20
0,0;1;25;21
0,0;1;25;22
0,0;1;25;23
0,0;1;26;0
0,0;1;26;1
0,0;1;26;2
0,0;1;26;3
0,0;1;26;4
0,0;1;26;5
0,0;1;26;6
0,0;1;26;7
0,144;1;26;8
0,757;1;26;9
1,358;1;26;10
1,723;1;26;11
1,835;1;26;12
1,461;1;26;13
1,258;1;26;14
1,091;1;26;15
0,468;1;26;16
0,0;1;26;17
0,0;1;26;18
0,0;1;26;19
0,0;1;26;20
0,0;1;26;21
0,0;1;26;22
0,0;1;26;23
0,0;1;27;0
0,0;1;27;1
0,0;1;27;2
0,0;1;27;3
0,0;1;27;4
0,0;1;27;5
0,0;1;27;6
0,0;1;27;7
0,051;1;27;8
0,257;1;27;9
0,583;1;27;10
0,722;1;27;11
0,497;1;27;12
0,764;1;27;13
0,936;1;27;14
0,627;1;27;15
0,317;1;27;16
0,0;1;27;17
0,0;1;27;18
0,0;1;27;19
0,0;1;27;20
0,0;1;27;21
0,0;1;27;22
0,0;1;27;23
0,0;1;28;0
0,0;1;28;1
0,0;1;28;2
0,0;1;28;3
0,0;1;28;4
0,0;1;28;5
0,0;1;28;6
0,0;1;28;7
0,102;1;28;8
0,64;1;28;9
0,76;1;28;10
0,684;1;28;11
0,606;1;28;12
0,984;1;28;13
0,693;1;28;14
0,595;1;28;15
0,355;1;28;16
0,0;1;28;17
0,0;1;28;18
0,0;1;28;19
0,0;1;28;20
0,0;1;28;21
0,0;1;28;22
0,0;1;28;23
0,0;1;29;0
0,0;1;29;1
0,0;1;29;2
0,0;1;29;3
0,0;1;29;4
0,0;1;29;5
0,0;1;29;6
0,0;1;29;7
0,089;1;29;8
0,33;1;29;9
0,91;1;29;10
1,374;1;29;11
1,677;1;29;12
1,681;1;29;13
1,188;1;29;14
0,851;1;29;15
0,325;1;29;16
0,0;1;29;17
0,0;1;29;18
0,0;1;29;19
0,0;1;29;20
0,0;1;29;21
0,0;1;29;22
0,0;1;29;23
0,0;1;30;0
0,0;1;30;1
0,0;1;30;2
0,0;1;30;3
0,0;1;30;4
0,0;1;30;5
0,0;1;30;6
0,0;1;30;7
0,142;1;30;8
0,284;1;30;9
0,295;1;30;10
0,891;1;30;11
1,072;1;30;12
1,098;1;30;13
0,559;1;30;14
1,166;1;30;15
0,515;1;30;16
0,008;1;30;17
0,0;1;30;18
0,0;1;30;19
0,0;1;30;20
0,0;1;30;21
0,0;1;30;22
0,0;1;30;23
0,0;1;31;0
0,0;1;31;1
0,0;1;31;2
0,0;1;31;3
0,0;1;31;4
0,0;1;31;5
0,0;1;31;6
0,0;1;31;7
0,168;1;31;8
0,714;1;31;9
1,09;1;31;10
1,54;1;31;11
1,867;1;31;12
1,777;1;31;13
0,941;1;31;14
0,69;1;31;15
0,519;1;31;16
0,0;1;31;17
0,0;1;31;18
0,0;1;31;19
0,0;1;31;20
0,0;1;31;21
0,0;1;31;22
0,0;1;31;23
0,0;2;1;0
0,0;2;1;1
0,0;2;1;2
0,0;2;1;3
0,0;2;1;4
0,0;2;1;5
0,0;2;1;6
0,0;2;1;7
0,142;2;1;8
0,562;2;1;9
0,874;2;1;10
1,64;2;1;11
1,879;2;1;12
1,832;2;1;13
1,564;2;1;14
1,089;2;1;15
0,526;2;1;16
0,013;2;1;17
0,0;2;1;18
0,0;2;1;19
0,0;2;1;20
0,0;2;1;21
0,0;2;1;22
0,0;2;1;23
0,0;2;2;0
